target_id	gene_name	qval	log2fc	final_annotation	final_annotation.y	direction
ENSMUSG00000106095	2010110G14Rik	0.010824826	-3.571212245	lincRNA	lincRNA	Downregulated
ENSMUSG00000042155	Klhl23	1.69E-10	-3.562969618	protein_coding	protein_coding	Downregulated
ENSMUSG00000102224	4930447F24Rik	0.009107194	-3.542739248	other	other	Downregulated
ENSMUSG00000026430	Rassf5	2.08E-32	-3.533602371	protein_coding	protein_coding	Downregulated
ENSMUSG00000028602	Tnfrsf8	3.74E-18	-3.401653313	protein_coding	protein_coding	Downregulated
ENSMUSG00000079710	Gm3448	0.041293611	-3.330736586	protein_coding	protein_coding	Downregulated
ENSMUSG00000022018	Rgcc	8.64E-34	-3.260615399	protein_coding	protein_coding	Downregulated
MSTRG.15919	MSTRG.15919	5.06E-09	-3.259479046	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000101904	Gm29427	0.035655069	-3.234217801	protein_coding	protein_coding	Downregulated
ENSMUSG00000060548	Tnfrsf19	4.49E-09	-3.233710059	protein_coding	protein_coding	Downregulated
MSTRG.39343	MSTRG.39343	0.000404708	-3.223330967	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000028874	Fgr	1.06E-08	-3.166560565	protein_coding	protein_coding	Downregulated
ENSMUSG00000044337	Ackr3	3.19E-05	-3.16580864	protein_coding	protein_coding	Downregulated
MSTRG.16934	MSTRG.16934	0.008910401	-3.155436235	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000026786	Apbb1ip	1.16E-05	-3.112277614	protein_coding	protein_coding	Downregulated
ENSMUSG00000064165	Krt39	5.82E-05	-3.109785677	protein_coding	protein_coding	Downregulated
ENSMUSG00000068270	Shroom4	5.88E-15	-3.085000668	protein_coding	protein_coding	Downregulated
ENSMUSG00000011148	Adssl1	8.58E-06	-3.081272895	protein_coding	protein_coding	Downregulated
MSTRG.42726	MSTRG.42726	0.000514611	-3.069886172	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000048001	Hes5	0.00340678	-3.027845851	protein_coding	protein_coding	Downregulated
ENSMUSG00000004540	Psg17	0.000126952	-3.018655601	protein_coding	protein_coding	Downregulated
MSTRG.9477	MSTRG.9477	6.50E-05	-3.00892065	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000079654	Prrt4	0.000504171	-2.982383729	protein_coding	protein_coding	Downregulated
ENSMUSG00000047517	Dmbt1	6.92E-06	-2.982045619	protein_coding	protein_coding	Downregulated
ENSMUSG00000042976	9930038B18Rik	7.65E-06	-2.974990116	lincRNA	lincRNA	Downregulated
ENSMUSG00000029335	Bmp3	7.12E-34	-2.949861888	protein_coding	protein_coding	Downregulated
ENSMUSG00000036526	Card11	2.00E-08	-2.948886777	protein_coding	protein_coding	Downregulated
MSTRG.20217	MSTRG.20217	4.23E-11	-2.93821606	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000106634	Gm43042	1.02E-14	-2.903495505	lincRNA	lincRNA	Downregulated
ENSMUSG00000024411	Aqp4	1.85E-17	-2.881293594	protein_coding	protein_coding	Downregulated
MSTRG.45245	MSTRG.45245	0.00091854	-2.857828198	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
MSTRG.5396	MSTRG.5396	0.000146916	-2.854497778	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
MSTRG.14780	MSTRG.14780	0.010518605	-2.842876821	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000059493	Nhs	1.73E-18	-2.830646053	protein_coding	protein_coding	Downregulated
ENSMUSG00000044313	Mab21l3	0.000565091	-2.825194944	protein_coding	protein_coding	Downregulated
ENSMUSG00000045667	Smtnl2	0.001222935	-2.81484535	protein_coding	protein_coding	Downregulated
ENSMUSG00000039304	Tnfsf10	1.69E-07	-2.811336107	protein_coding	protein_coding	Downregulated
ENSMUSG00000070532	Ccdc190	5.94E-06	-2.807401572	protein_coding	protein_coding	Downregulated
ENSMUSG00000035615	Frmpd1	0.001391824	-2.799202531	protein_coding	protein_coding	Downregulated
ENSMUSG00000037846	Rtkn2	0.000244412	-2.772455705	protein_coding	protein_coding	Downregulated
ENSMUSG00000040694	Apobec2	1.24E-05	-2.764389923	protein_coding	protein_coding	Downregulated
MSTRG.9623	MSTRG.9623	0.001233168	-2.76193969	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000046480	Scn4b	0.001351578	-2.74856663	protein_coding	protein_coding	Downregulated
MSTRG.20413	MSTRG.20413	0.012920716	-2.740739459	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000085483	Gm14198	0.046817205	-2.738078696	other	other	Downregulated
ENSMUSG00000021373	Cap2	2.69E-07	-2.726207531	protein_coding	protein_coding	Downregulated
ENSMUSG00000070304	Scn2b	7.73E-10	-2.71597744	protein_coding	protein_coding	Downregulated
ENSMUSG00000059213	Ddn	8.47E-05	-2.715697207	protein_coding	protein_coding	Downregulated
ENSMUSG00000097932	C430039J16Rik	0.00095479	-2.707262747	lincRNA	lincRNA	Downregulated
ENSMUSG00000104348	Gm37691	0.000457533	-2.704714894	other	other	Downregulated
ENSMUSG00000035226	Rims4	0.000594938	-2.667517391	protein_coding	protein_coding	Downregulated
ENSMUSG00000032373	Car12	3.34E-14	-2.664628426	protein_coding	protein_coding	Downregulated
ENSMUSG00000017493	Igfbp4	1.25E-06	-2.640413043	protein_coding	protein_coding	Downregulated
MSTRG.30156	MSTRG.30156	0.000364036	-2.629716133	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000009248	Ascl2	0.001051207	-2.626649697	protein_coding	protein_coding	Downregulated
ENSMUSG00000039814	Xkr5	2.08E-15	-2.626331752	protein_coding	protein_coding	Downregulated
ENSMUSG00000059336	Slc14a1	0.001532737	-2.624921536	protein_coding	protein_coding	Downregulated
ENSMUSG00000087179	Gm14230	3.60E-07	-2.620780837	lincRNA	lincRNA	Downregulated
ENSMUSG00000078202	Nrarp	4.00E-07	-2.605179087	protein_coding	protein_coding	Downregulated
ENSMUSG00000056978	Hamp2	0.00049699	-2.584920674	protein_coding	protein_coding	Downregulated
ENSMUSG00000096001	2610528A11Rik	0.049475429	-2.584539092	protein_coding	protein_coding	Downregulated
ENSMUSG00000053216	Btn2a2	0.013241443	-2.57636524	protein_coding	protein_coding	Downregulated
ENSMUSG00000104557	Gm36520	0.022417091	-2.5718365	lincRNA	lincRNA	Downregulated
ENSMUSG00000055210	Foxd2	0.020507835	-2.553302882	protein_coding	protein_coding	Downregulated
ENSMUSG00000029123	Stk32b	0.001264641	-2.549646549	protein_coding	protein_coding	Downregulated
ENSMUSG00000106001	Gm42826	0.010990382	-2.537142912	other	other	Downregulated
ENSMUSG00000077714	Snord17	0.000433021	-2.533584611	other	other	Downregulated
ENSMUSG00000096954	Gdap10	0.001618873	-2.529987485	lincRNA	lincRNA	Downregulated
ENSMUSG00000014813	Stc1	0.00026052	-2.526781075	protein_coding	protein_coding	Downregulated
MSTRG.26903	MSTRG.26903	0.004839729	-2.525788036	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000047963	Stbd1	0.010909912	-2.508783303	protein_coding	protein_coding	Downregulated
ENSMUSG00000050511	Oprd1	0.00324915	-2.481179689	protein_coding	protein_coding	Downregulated
ENSMUSG00000055612	Cdca7	1.43E-10	-2.477473602	protein_coding	protein_coding	Downregulated
ENSMUSG00000089789	Rdh1	1.76E-07	-2.476074515	protein_coding	protein_coding	Downregulated
MSTRG.29205	MSTRG.29205	1.98E-14	-2.46895851	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000067724	Gbx1	0.002128238	-2.462411744	protein_coding	protein_coding	Downregulated
ENSMUSG00000049409	Prokr1	1.52E-09	-2.455358596	protein_coding	protein_coding	Downregulated
ENSMUSG00000025492	Ifitm3	2.67E-08	-2.454801886	protein_coding	protein_coding	Downregulated
ENSMUSG00000055172	C1ra	2.97E-07	-2.441244461	protein_coding	protein_coding	Downregulated
ENSMUSG00000027793	Ccna1	2.19E-05	-2.441017779	protein_coding	protein_coding	Downregulated
ENSMUSG00000107879	9330102E08Rik	0.001723455	-2.422112472	lincRNA	lincRNA	Downregulated
ENSMUSG00000044921	Rassf9	0.001745078	-2.416660581	protein_coding	protein_coding	Downregulated
ENSMUSG00000048776	Pthlh	6.10E-07	-2.413886573	protein_coding	protein_coding	Downregulated
ENSMUSG00000074652	Myh7b	0.005589466	-2.413673876	protein_coding	protein_coding	Downregulated
ENSMUSG00000106658	Gm42426	6.60E-09	-2.410490396	lincRNA	lincRNA	Downregulated
ENSMUSG00000032232	Cgnl1	2.21E-27	-2.406009313	protein_coding	protein_coding	Downregulated
MSTRG.23773	MSTRG.23773	0.006284921	-2.394966027	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000075330	A930003A15Rik	0.012220329	-2.389319626	protein_coding	protein_coding	Downregulated
ENSMUSG00000042429	Adora1	1.27E-08	-2.380895946	protein_coding	protein_coding	Downregulated
MSTRG.23774	MSTRG.23774	1.26E-08	-2.379024075	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000022993	4930415O20Rik	0.003295944	-2.376617888	protein_coding	protein_coding	Downregulated
ENSMUSG00000026676	Ccdc3	0.002332013	-2.359766602	protein_coding	protein_coding	Downregulated
ENSMUSG00000030790	Adm	0.005583835	-2.359069593	protein_coding	protein_coding	Downregulated
ENSMUSG00000026873	Phf19	7.73E-14	-2.32046437	protein_coding	protein_coding	Downregulated
MSTRG.26906	MSTRG.26906	0.000560605	-2.310043895	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000025608	Podxl	7.57E-05	-2.302427418	protein_coding	protein_coding	Downregulated
MSTRG.24464	MSTRG.24464	0.001123638	-2.302426302	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000074651	Mcidas	0.04890471	-2.294978425	protein_coding	protein_coding	Downregulated
ENSMUSG00000066607	6030419C18Rik	0.001395474	-2.287938994	protein_coding	protein_coding	Downregulated
ENSMUSG00000026401	Cd55b	3.91E-06	-2.26836639	protein_coding	protein_coding	Downregulated
ENSMUSG00000026959	Grin1	0.029197888	-2.255761369	protein_coding	protein_coding	Downregulated
ENSMUSG00000067750	Khdc1a	0.011573466	-2.254301287	protein_coding	protein_coding	Downregulated
ENSMUSG00000038079	Tmem237	0.001479441	-2.254064679	protein_coding	protein_coding	Downregulated
MSTRG.9074	MSTRG.9074	0.019525221	-2.252256965	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000028539	Artn	0.008521633	-2.24152042	protein_coding	protein_coding	Downregulated
ENSMUSG00000078502	Gm13212	3.26E-16	-2.218688476	protein_coding	protein_coding	Downregulated
ENSMUSG00000030785	Cox6a2	0.001654377	-2.215151027	protein_coding	protein_coding	Downregulated
ENSMUSG00000031465	Angpt2	4.78E-09	-2.206877522	protein_coding	protein_coding	Downregulated
ENSMUSG00000089812	Gm15867	0.027357908	-2.200875254	other	other	Downregulated
ENSMUSG00000107429	Gm44206	2.78E-06	-2.191064221	other	other	Downregulated
MSTRG.10383	MSTRG.10383	0.013653426	-2.186656062	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000097415	AU020206	1.26E-10	-2.174279253	lincRNA	lincRNA	Downregulated
MSTRG.15845	MSTRG.15845	2.55E-08	-2.147389719	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000110631	RP24-286J21.7	1.81E-09	-2.135652507	lincRNA	lincRNA	Downregulated
ENSMUSG00000028763	Hspg2	7.83E-14	-2.135537273	protein_coding	protein_coding	Downregulated
ENSMUSG00000060961	Slc4a4	3.64E-11	-2.133952434	protein_coding	protein_coding	Downregulated
MSTRG.12085	MSTRG.12085	2.03E-05	-2.128018707	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000009378	Slc16a12	3.34E-13	-2.119900176	protein_coding	protein_coding	Downregulated
ENSMUSG00000040231	Syngr4	0.006220493	-2.119866408	protein_coding	protein_coding	Downregulated
ENSMUSG00000031558	Slit2	1.25E-08	-2.109346427	protein_coding	protein_coding	Downregulated
ENSMUSG00000037474	Dtl	1.17E-09	-2.107248289	protein_coding	protein_coding	Downregulated
ENSMUSG00000025991	Cps1	3.41E-12	-2.105257015	protein_coding	protein_coding	Downregulated
ENSMUSG00000042942	Greb1l	0.000140028	-2.105146253	protein_coding	protein_coding	Downregulated
ENSMUSG00000046160	Olig1	0.036325498	-2.098284468	protein_coding	protein_coding	Downregulated
ENSMUSG00000068744	Psrc1	1.53E-05	-2.097988714	protein_coding	protein_coding	Downregulated
ENSMUSG00000022528	Hes1	1.56E-06	-2.096455344	protein_coding	protein_coding	Downregulated
ENSMUSG00000020044	Timp3	2.33E-09	-2.094012915	protein_coding	protein_coding	Downregulated
ENSMUSG00000047702	Olfr1388	3.04E-06	-2.093750194	protein_coding	protein_coding	Downregulated
ENSMUSG00000107278	Gm42600	0.036458373	-2.082939133	other	other	Downregulated
ENSMUSG00000044320	1700001O22Rik	0.000248229	-2.075429846	protein_coding	protein_coding	Downregulated
ENSMUSG00000025001	Hells	7.47E-13	-2.074738916	protein_coding	protein_coding	Downregulated
ENSMUSG00000000037	Scml2	0.001905995	-2.073456486	protein_coding	protein_coding	Downregulated
ENSMUSG00000028039	Efna3	0.003921465	-2.072167162	protein_coding	protein_coding	Downregulated
ENSMUSG00000104090	Gm34267	0.001979189	-2.068127034	other	other	Downregulated
ENSMUSG00000054342	Kcnn4	1.07E-05	-2.063562218	protein_coding	protein_coding	Downregulated
ENSMUSG00000097313	Gm26569	0.021010673	-2.062885592	lincRNA	lincRNA	Downregulated
ENSMUSG00000048534	Amica1	5.45E-08	-2.060548909	protein_coding	protein_coding	Downregulated
ENSMUSG00000024935	Slc1a1	5.30E-06	-2.052423655	protein_coding	protein_coding	Downregulated
ENSMUSG00000029716	Tfr2	0.014943299	-2.052029586	protein_coding	protein_coding	Downregulated
ENSMUSG00000068877	Selenbp2	0.015457062	-2.04978971	protein_coding	protein_coding	Downregulated
ENSMUSG00000110456	RP23-91H23.4	0.018654576	-2.04876385	other	other	Downregulated
ENSMUSG00000029436	Mmp17	1.92E-05	-2.034383635	protein_coding	protein_coding	Downregulated
ENSMUSG00000056758	Hmga2	1.18E-11	-2.033925936	protein_coding	protein_coding	Downregulated
MSTRG.20669	MSTRG.20669	8.57E-06	-2.032683025	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000021175	Cdca7l	8.20E-11	-2.031781373	protein_coding	protein_coding	Downregulated
ENSMUSG00000041301	Cftr	2.61E-34	-2.030448344	protein_coding	protein_coding	Downregulated
ENSMUSG00000031562	Dctd	1.62E-10	-2.029763454	protein_coding	protein_coding	Downregulated
ENSMUSG00000104563	Gm43041	6.65E-05	-2.027682377	other	other	Downregulated
ENSMUSG00000090486	BC035947	2.31E-05	-2.027400318	protein_coding	protein_coding	Downregulated
ENSMUSG00000035459	Stab2	0.004419398	-2.023080061	protein_coding	protein_coding	Downregulated
ENSMUSG00000048779	P2ry6	5.49E-06	-2.021454019	protein_coding	protein_coding	Downregulated
ENSMUSG00000029862	Clcn1	0.002315323	-2.019597027	protein_coding	protein_coding	Downregulated
ENSMUSG00000094928	1700122O11Rik	0.024229429	-2.019272327	protein_coding	protein_coding	Downregulated
ENSMUSG00000059060	Rad51b	7.71E-08	-2.014314352	protein_coding	protein_coding	Downregulated
ENSMUSG00000031453	Rasa3	3.62E-12	-2.01334544	protein_coding	protein_coding	Downregulated
ENSMUSG00000048373	Fgfbp1	3.88E-08	-2.01092381	protein_coding	protein_coding	Downregulated
ENSMUSG00000014164	Klhl3	1.04E-05	-2.007173472	protein_coding	protein_coding	Downregulated
ENSMUSG00000032278	Paqr5	0.005853232	-2.007007008	protein_coding	protein_coding	Downregulated
ENSMUSG00000009633	G0s2	6.66E-06	-2.005336224	protein_coding	protein_coding	Downregulated
MSTRG.18649	MSTRG.18649	0.039565481	-2.004792592	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000097519	4930558J18Rik	0.000227856	-2.004254231	lincRNA	lincRNA	Downregulated
mmu-miR-218-5p	mmu-miR-218-5p	3.19E-05	-2.004057682	miRNA	NA	Downregulated
ENSMUSG00000041577	Prelp	5.99E-06	-2.002553707	protein_coding	protein_coding	Downregulated
ENSMUSG00000051067	Lingo3	0.030046683	-1.991633309	protein_coding	protein_coding	Downregulated
ENSMUSG00000044966	Fbxo48	4.13E-05	-1.989175678	protein_coding	protein_coding	Downregulated
ENSMUSG00000108366	Gm5586	0.038373544	-1.986154681	other	other	Downregulated
MSTRG.21472	MSTRG.21472	0.007085399	-1.983960719	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000004654	Ghrhr	0.005995458	-1.982772125	protein_coding	protein_coding	Downregulated
MSTRG.26902	MSTRG.26902	0.003620777	-1.979764964	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000017724	Etv4	7.98E-09	-1.976023143	protein_coding	protein_coding	Downregulated
MSTRG.10379	MSTRG.10379	0.045025212	-1.971607936	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
MSTRG.39340	MSTRG.39340	0.00406387	-1.968015973	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000079550	Mpp4	0.007067801	-1.967309019	protein_coding	protein_coding	Downregulated
ENSMUSG00000059791	Nrm	6.80E-07	-1.96727769	protein_coding	protein_coding	Downregulated
MSTRG.3175	MSTRG.3175	0.006175179	-1.96650013	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000062175	Tgif2	1.78E-05	-1.965981594	protein_coding	protein_coding	Downregulated
ENSMUSG00000033022	Cdo1	2.44E-05	-1.964622532	protein_coding	protein_coding	Downregulated
ENSMUSG00000032092	Mpzl2	4.82E-25	-1.958088191	protein_coding	protein_coding	Downregulated
ENSMUSG00000109936	RP23-145I16.5	0.01559979	-1.955821116	lincRNA	lincRNA	Downregulated
MSTRG.39499	MSTRG.39499	0.030410525	-1.952944911	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000042686	Jph1	0.000437502	-1.940698486	protein_coding	protein_coding	Downregulated
ENSMUSG00000086610	Gm15408	0.002055915	-1.939013179	lincRNA	lincRNA	Downregulated
ENSMUSG00000081137	BC022960	0.000417215	-1.936760673	other	other	Downregulated
ENSMUSG00000023886	Smoc2	8.29E-13	-1.934158148	protein_coding	protein_coding	Downregulated
ENSMUSG00000040433	Zbtb38	4.59E-18	-1.932389746	protein_coding	protein_coding	Downregulated
ENSMUSG00000041859	Mcm3	9.63E-07	-1.918268463	protein_coding	protein_coding	Downregulated
ENSMUSG00000081392	Gm11668	0.025674408	-1.915066322	other	other	Downregulated
ENSMUSG00000104344	Gm38077	0.008886821	-1.910302098	other	other	Downregulated
ENSMUSG00000054146	Krt15	0.004411144	-1.90272121	protein_coding	protein_coding	Downregulated
ENSMUSG00000010362	Rdm1	1.41E-05	-1.897858895	protein_coding	protein_coding	Downregulated
ENSMUSG00000097493	9930014A18Rik	1.52E-09	-1.896772193	other	other	Downregulated
ENSMUSG00000031596	Slc7a2	2.22E-09	-1.896424967	protein_coding	protein_coding	Downregulated
ENSMUSG00000001228	Uhrf1	6.66E-10	-1.892375289	protein_coding	protein_coding	Downregulated
ENSMUSG00000053783	1700016K19Rik	0.002279051	-1.892218217	protein_coding	protein_coding	Downregulated
ENSMUSG00000046295	Ankle1	7.79E-06	-1.884958104	protein_coding	protein_coding	Downregulated
ENSMUSG00000028332	Hemgn	0.000509591	-1.884761386	protein_coding	protein_coding	Downregulated
ENSMUSG00000038527	C1rl	0.007384299	-1.883372909	protein_coding	protein_coding	Downregulated
ENSMUSG00000044017	Adgrd1	0.006892687	-1.879965184	protein_coding	protein_coding	Downregulated
ENSMUSG00000002489	Tiam1	0.000510815	-1.877675971	protein_coding	protein_coding	Downregulated
ENSMUSG00000028463	Car9	0.008774882	-1.877572091	protein_coding	protein_coding	Downregulated
ENSMUSG00000024597	Slc12a2	4.04E-08	-1.87617553	protein_coding	protein_coding	Downregulated
ENSMUSG00000009545	Kcnq1	1.51E-10	-1.868630727	protein_coding	protein_coding	Downregulated
ENSMUSG00000097604	Gm17322	0.007740975	-1.867424009	lincRNA	lincRNA	Downregulated
ENSMUSG00000052957	Gas1	0.007529246	-1.866282897	protein_coding	protein_coding	Downregulated
ENSMUSG00000029096	Htra3	0.027157294	-1.858566592	protein_coding	protein_coding	Downregulated
ENSMUSG00000026610	Esrrg	8.81E-19	-1.857679391	protein_coding	protein_coding	Downregulated
MSTRG.18465	MSTRG.18465	0.01613281	-1.850581604	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
MSTRG.12684	MSTRG.12684	0.001497219	-1.848528604	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000031750	Il34	0.018441694	-1.847624764	protein_coding	protein_coding	Downregulated
ENSMUSG00000099703	Gm28285	2.71E-05	-1.838269719	protein_coding	protein_coding	Downregulated
ENSMUSG00000033032	Afap1l1	4.93E-17	-1.836704226	protein_coding	protein_coding	Downregulated
ENSMUSG00000024654	Asrgl1	3.07E-07	-1.83389952	protein_coding	protein_coding	Downregulated
ENSMUSG00000029414	Kntc1	2.03E-08	-1.83124609	protein_coding	protein_coding	Downregulated
ENSMUSG00000078650	G6pc	0.020345048	-1.829866805	protein_coding	protein_coding	Downregulated
ENSMUSG00000093726	Gm20667	1.26E-06	-1.828751282	other	other	Downregulated
ENSMUSG00000078586	Gm11735	9.88E-06	-1.826084845	other	other	Downregulated
mmu-miR-222-5p	mmu-miR-222-5p	0.00192	-1.825775609	miRNA	NA	Downregulated
ENSMUSG00000029541	Cyp2w1	0.00027825	-1.824822233	protein_coding	protein_coding	Downregulated
MSTRG.48144	MSTRG.48144	0.036533531	-1.82160902	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000026196	Bard1	3.85E-14	-1.820865515	protein_coding	protein_coding	Downregulated
ENSMUSG00000051278	Zgrf1	2.06E-05	-1.81909038	protein_coding	protein_coding	Downregulated
ENSMUSG00000020534	Shmt1	2.00E-14	-1.818770785	protein_coding	protein_coding	Downregulated
ENSMUSG00000097414	B130046B21Rik	0.008066964	-1.818027656	lincRNA	lincRNA	Downregulated
ENSMUSG00000075543	Urad	0.000478908	-1.816042323	protein_coding	protein_coding	Downregulated
ENSMUSG00000030935	Acsm3	8.53E-05	-1.814278354	protein_coding	protein_coding	Downregulated
ENSMUSG00000034023	Fancd2	2.35E-07	-1.799586049	protein_coding	protein_coding	Downregulated
ENSMUSG00000041390	Mdfic	0.00014945	-1.797276743	protein_coding	protein_coding	Downregulated
ENSMUSG00000024352	Spata24	7.54E-06	-1.794357692	protein_coding	protein_coding	Downregulated
ENSMUSG00000000142	Axin2	0.000922964	-1.793805744	protein_coding	protein_coding	Downregulated
MSTRG.33700	MSTRG.33700	1.91E-08	-1.78812431	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000032815	Fanca	7.03E-09	-1.78684333	protein_coding	protein_coding	Downregulated
ENSMUSG00000037991	Rmi2	2.43E-07	-1.78335746	protein_coding	protein_coding	Downregulated
ENSMUSG00000052852	Reep1	0.000208906	-1.783258134	protein_coding	protein_coding	Downregulated
ENSMUSG00000065952	C330021F23Rik	0.002973009	-1.773940056	protein_coding	protein_coding	Downregulated
ENSMUSG00000037033	Clca3b	0.017970869	-1.772069004	protein_coding	protein_coding	Downregulated
ENSMUSG00000042985	Upk3b	0.026577605	-1.767997098	protein_coding	protein_coding	Downregulated
ENSMUSG00000051457	Spn	0.039308262	-1.767579323	protein_coding	protein_coding	Downregulated
ENSMUSG00000021572	Cep72	4.55E-20	-1.76594245	protein_coding	protein_coding	Downregulated
ENSMUSG00000036768	Kif15	2.42E-07	-1.764497341	protein_coding	protein_coding	Downregulated
ENSMUSG00000066952	Myo1h	0.023050603	-1.764320771	protein_coding	protein_coding	Downregulated
ENSMUSG00000060550	H2-Q7	0.002152062	-1.761683017	protein_coding	protein_coding	Downregulated
ENSMUSG00000086591	Dnah2os	0.004748435	-1.753672203	other	other	Downregulated
ENSMUSG00000018554	Ybx2	0.002190138	-1.750943036	protein_coding	protein_coding	Downregulated
mmu-miR-3535	mmu-miR-3535	0.00429	-1.745903175	miRNA	NA	Downregulated
ENSMUSG00000038644	Pold1	8.06E-09	-1.744322672	protein_coding	protein_coding	Downregulated
ENSMUSG00000105105	Gm31363	0.000330696	-1.741930936	lincRNA	lincRNA	Downregulated
ENSMUSG00000031220	Awat2	5.67E-05	-1.735574111	protein_coding	protein_coding	Downregulated
ENSMUSG00000103313	Gm38357	0.037345251	-1.735027112	other	other	Downregulated
ENSMUSG00000017861	Mybl2	1.09E-07	-1.733368216	protein_coding	protein_coding	Downregulated
