target_id	gene_name	qval	log2fc	final_annotation	final_annotation.y	direction	Mouse Ensembl	Human Ensembl
ENSMUSG00000023336	Wfdc1	0.01785155	-3.7845315939999997	protein_coding	protein_coding	Downregulated	ENSMUSG00000023336	ENSG00000103175
ENSMUSG00000036422	Pcdh8	0.010132606	-3.780965764	protein_coding	protein_coding	Downregulated	ENSMUSG00000036422	ENSG00000136099
ENSMUSG00000000416	Cttnbp2	5.06e-09	-3.672425156	protein_coding	protein_coding	Downregulated	ENSMUSG00000000416	ENSG00000077063
ENSMUSG00000026322	Htr4	6.01e-05	-3.5784277	protein_coding	protein_coding	Downregulated	ENSMUSG00000026322	ENSG00000164270
ENSMUSG00000106095	2010110G14Rik	0.010824826000000001	-3.571212245	lincRNA	lincRNA	Downregulated		
ENSMUSG00000042155	Klhl23	1.6899999999999999e-10	-3.5629696180000003	protein_coding	protein_coding	Downregulated	ENSMUSG00000042155	ENSG00000213160
ENSMUSG00000102224	4930447F24Rik	0.009107194	-3.542739248	other	other	Downregulated		
ENSMUSG00000026430	Rassf5	2.08e-32	-3.533602371	protein_coding	protein_coding	Downregulated	ENSMUSG00000026430	ENSG00000266094
ENSMUSG00000028602	Tnfrsf8	3.74e-18	-3.401653313	protein_coding	protein_coding	Downregulated	ENSMUSG00000028602	ENSG00000120949
ENSMUSG00000079710	Gm3448	0.041293611	-3.3307365860000004	protein_coding	protein_coding	Downregulated		
ENSMUSG00000022018	Rgcc	8.64e-34	-3.2606153989999997	protein_coding	protein_coding	Downregulated	ENSMUSG00000022018	ENSG00000102760
MSTRG.15919	MSTRG.15919	5.06e-09	-3.259479046	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000101904	Gm29427	0.035655069	-3.2342178010000002	protein_coding	protein_coding	Downregulated		
ENSMUSG00000060548	Tnfrsf19	4.49e-09	-3.233710059	protein_coding	protein_coding	Downregulated	ENSMUSG00000060548	ENSG00000127863
MSTRG.39343	MSTRG.39343	0.00040470800000000004	-3.223330967	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000028874	Fgr	1.06e-08	-3.166560565	protein_coding	protein_coding	Downregulated	ENSMUSG00000028874	ENSG00000000938
ENSMUSG00000044337	Ackr3	3.19e-05	-3.16580864	protein_coding	protein_coding	Downregulated	ENSMUSG00000044337	ENSG00000144476
MSTRG.16934	MSTRG.16934	0.008910401	-3.155436235	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000026786	Apbb1ip	1.1599999999999999e-05	-3.112277614	protein_coding	protein_coding	Downregulated	ENSMUSG00000026786	ENSG00000077420
ENSMUSG00000064165	Krt39	5.8200000000000005e-05	-3.109785677	protein_coding	protein_coding	Downregulated	ENSMUSG00000064165	ENSG00000262164; ENSG00000196859
ENSMUSG00000068270	Shroom4	5.88e-15	-3.085000668	protein_coding	protein_coding	Downregulated	ENSMUSG00000068270	ENSG00000158352
ENSMUSG00000011148	Adssl1	8.58e-06	-3.081272895	protein_coding	protein_coding	Downregulated	ENSMUSG00000011148	ENSG00000185100
MSTRG.42726	MSTRG.42726	0.000514611	-3.069886172	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000048001	Hes5	0.00340678	-3.0278458510000004	protein_coding	protein_coding	Downregulated	ENSMUSG00000048001	ENSG00000273529; ENSG00000197921
ENSMUSG00000004540	Psg17	0.000126952	-3.0186556010000003	protein_coding	protein_coding	Downregulated		
MSTRG.9477	MSTRG.9477	6.500000000000001e-05	-3.00892065	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000079654	Prrt4	0.000504171	-2.982383729	protein_coding	protein_coding	Downregulated	ENSMUSG00000079654	ENSG00000224940
ENSMUSG00000047517	Dmbt1	6.92e-06	-2.982045619	protein_coding	protein_coding	Downregulated	ENSMUSG00000047517	ENSG00000187908
ENSMUSG00000042976	9930038B18Rik	7.65e-06	-2.9749901160000003	lincRNA	lincRNA	Downregulated		
ENSMUSG00000029335	Bmp3	7.12e-34	-2.949861888	protein_coding	protein_coding	Downregulated	ENSMUSG00000029335	ENSG00000152785
ENSMUSG00000036526	Card11	2e-08	-2.948886777	protein_coding	protein_coding	Downregulated	ENSMUSG00000036526	ENSG00000198286
MSTRG.20217	MSTRG.20217	4.229999999999999e-11	-2.93821606	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000106634	Gm43042	1.02e-14	-2.903495505	lincRNA	lincRNA	Downregulated		
ENSMUSG00000024411	Aqp4	1.85e-17	-2.8812935939999997	protein_coding	protein_coding	Downregulated	ENSMUSG00000024411	ENSG00000171885
MSTRG.45245	MSTRG.45245	0.00091854	-2.857828198	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
MSTRG.5396	MSTRG.5396	0.000146916	-2.8544977780000003	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
MSTRG.14780	MSTRG.14780	0.010518605	-2.8428768210000004	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000059493	Nhs	1.7299999999999998e-18	-2.830646053	protein_coding	protein_coding	Downregulated	ENSMUSG00000059493	ENSG00000188158
ENSMUSG00000044313	Mab21l3	0.000565091	-2.8251949439999997	protein_coding	protein_coding	Downregulated	ENSMUSG00000044313	ENSG00000173212
ENSMUSG00000045667	Smtnl2	0.001222935	-2.81484535	protein_coding	protein_coding	Downregulated	ENSMUSG00000045667	ENSG00000188176
ENSMUSG00000039304	Tnfsf10	1.69e-07	-2.811336107	protein_coding	protein_coding	Downregulated	ENSMUSG00000039304	ENSG00000121858
ENSMUSG00000070532	Ccdc190	5.94e-06	-2.807401572	protein_coding	protein_coding	Downregulated	ENSMUSG00000070532	ENSG00000185860
ENSMUSG00000035615	Frmpd1	0.0013918239999999998	-2.799202531	protein_coding	protein_coding	Downregulated	ENSMUSG00000035615	ENSG00000070601
ENSMUSG00000037846	Rtkn2	0.000244412	-2.772455705	protein_coding	protein_coding	Downregulated	ENSMUSG00000037846	ENSG00000182010
ENSMUSG00000040694	Apobec2	1.24e-05	-2.764389923	protein_coding	protein_coding	Downregulated	ENSMUSG00000040694	ENSG00000111732
MSTRG.9623	MSTRG.9623	0.001233168	-2.76193969	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000046480	Scn4b	0.001351578	-2.74856663	protein_coding	protein_coding	Downregulated	ENSMUSG00000046480	ENSG00000177098
MSTRG.20413	MSTRG.20413	0.012920716	-2.740739459	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000085483	Gm14198	0.046817205	-2.738078696	other	other	Downregulated		
ENSMUSG00000021373	Cap2	2.69e-07	-2.726207531	protein_coding	protein_coding	Downregulated	ENSMUSG00000021373	ENSG00000112186
ENSMUSG00000070304	Scn2b	7.729999999999999e-10	-2.71597744	protein_coding	protein_coding	Downregulated	ENSMUSG00000070304	ENSG00000149575
ENSMUSG00000059213	Ddn	8.47e-05	-2.715697207	protein_coding	protein_coding	Downregulated	ENSMUSG00000059213	ENSG00000181418
ENSMUSG00000097932	C430039J16Rik	0.00095479	-2.7072627469999997	lincRNA	lincRNA	Downregulated		
ENSMUSG00000104348	Gm37691	0.00045753300000000004	-2.704714894	other	other	Downregulated		
ENSMUSG00000035226	Rims4	0.000594938	-2.667517391	protein_coding	protein_coding	Downregulated	ENSMUSG00000035226	ENSG00000101098
ENSMUSG00000032373	Car12	3.34e-14	-2.664628426	protein_coding	protein_coding	Downregulated	ENSMUSG00000032373	ENSG00000074410
ENSMUSG00000017493	Igfbp4	1.25e-06	-2.640413043	protein_coding	protein_coding	Downregulated	ENSMUSG00000017493	ENSG00000141753
MSTRG.30156	MSTRG.30156	0.000364036	-2.629716133	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000009248	Ascl2	0.001051207	-2.626649697	protein_coding	protein_coding	Downregulated	ENSMUSG00000009248	ENSG00000183734
ENSMUSG00000039814	Xkr5	2.08e-15	-2.626331752	protein_coding	protein_coding	Downregulated	ENSMUSG00000039814	ENSG00000275591
ENSMUSG00000059336	Slc14a1	0.0015327370000000002	-2.624921536	protein_coding	protein_coding	Downregulated	ENSMUSG00000059336	ENSG00000141469
ENSMUSG00000087179	Gm14230	3.6e-07	-2.620780837	lincRNA	lincRNA	Downregulated		
ENSMUSG00000078202	Nrarp	4e-07	-2.605179087	protein_coding	protein_coding	Downregulated	ENSMUSG00000078202	ENSG00000198435
ENSMUSG00000056978	Hamp2	0.00049699	-2.584920674	protein_coding	protein_coding	Downregulated	ENSMUSG00000056978	ENSG00000105697
ENSMUSG00000096001	2610528A11Rik	0.049475429	-2.584539092	protein_coding	protein_coding	Downregulated		
ENSMUSG00000053216	Btn2a2	0.013241443	-2.57636524	protein_coding	protein_coding	Downregulated	ENSMUSG00000053216	ENSG00000124508
ENSMUSG00000053216	Btn2a2	0.013241443	-2.57636524	protein_coding	protein_coding	Downregulated	ENSMUSG00000053216	ENSG00000112763
ENSMUSG00000104557	Gm36520	0.022417091	-2.5718365000000003	lincRNA	lincRNA	Downregulated		
ENSMUSG00000055210	Foxd2	0.020507835	-2.5533028819999997	protein_coding	protein_coding	Downregulated	ENSMUSG00000055210	ENSG00000186564
ENSMUSG00000029123	Stk32b	0.0012646410000000002	-2.549646549	protein_coding	protein_coding	Downregulated	ENSMUSG00000029123	ENSG00000152953
ENSMUSG00000106001	Gm42826	0.010990382	-2.5371429119999998	other	other	Downregulated		
ENSMUSG00000077714	Snord17	0.00043302099999999996	-2.5335846109999998	other	other	Downregulated		
ENSMUSG00000096954	Gdap10	0.0016188729999999998	-2.529987485	lincRNA	lincRNA	Downregulated		
ENSMUSG00000014813	Stc1	0.00026052	-2.526781075	protein_coding	protein_coding	Downregulated	ENSMUSG00000014813	ENSG00000159167
MSTRG.26903	MSTRG.26903	0.004839729	-2.525788036	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000047963	Stbd1	0.010909911999999999	-2.508783303	protein_coding	protein_coding	Downregulated	ENSMUSG00000047963	ENSG00000118804
ENSMUSG00000050511	Oprd1	0.00324915	-2.481179689	protein_coding	protein_coding	Downregulated	ENSMUSG00000050511	ENSG00000116329
ENSMUSG00000055612	Cdca7	1.43e-10	-2.477473602	protein_coding	protein_coding	Downregulated	ENSMUSG00000055612	ENSG00000144354
ENSMUSG00000089789	Rdh1	1.7600000000000001e-07	-2.476074515	protein_coding	protein_coding	Downregulated	ENSMUSG00000089789	ENSG00000139547
MSTRG.29205	MSTRG.29205	1.98e-14	-2.46895851	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000067724	Gbx1	0.0021282379999999997	-2.462411744	protein_coding	protein_coding	Downregulated	ENSMUSG00000067724	ENSG00000164900
ENSMUSG00000049409	Prokr1	1.52e-09	-2.455358596	protein_coding	protein_coding	Downregulated	ENSMUSG00000049409	ENSG00000169621
ENSMUSG00000025492	Ifitm3	2.67e-08	-2.454801886	protein_coding	protein_coding	Downregulated	ENSMUSG00000025492	ENSG00000142089
ENSMUSG00000025492	Ifitm3	2.67e-08	-2.454801886	protein_coding	protein_coding	Downregulated	ENSMUSG00000025492	ENSG00000185201
ENSMUSG00000055172	C1ra	2.9699999999999997e-07	-2.441244461	protein_coding	protein_coding	Downregulated	ENSMUSG00000055172	ENSG00000159403
ENSMUSG00000027793	Ccna1	2.1899999999999997e-05	-2.441017779	protein_coding	protein_coding	Downregulated	ENSMUSG00000027793	ENSG00000133101
ENSMUSG00000107879	9330102E08Rik	0.001723455	-2.422112472	lincRNA	lincRNA	Downregulated		
ENSMUSG00000044921	Rassf9	0.001745078	-2.416660581	protein_coding	protein_coding	Downregulated	ENSMUSG00000044921	ENSG00000198774
ENSMUSG00000048776	Pthlh	6.1e-07	-2.413886573	protein_coding	protein_coding	Downregulated	ENSMUSG00000048776	ENSG00000087494
ENSMUSG00000074652	Myh7b	0.0055894659999999995	-2.413673876	protein_coding	protein_coding	Downregulated	ENSMUSG00000074652	ENSG00000078814
ENSMUSG00000106658	Gm42426	6.6e-09	-2.410490396	lincRNA	lincRNA	Downregulated		
ENSMUSG00000032232	Cgnl1	2.2100000000000005e-27	-2.406009313	protein_coding	protein_coding	Downregulated	ENSMUSG00000032232	ENSG00000128849
MSTRG.23773	MSTRG.23773	0.006284921	-2.3949660269999997	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000075330	A930003A15Rik	0.012220328999999999	-2.389319626	protein_coding	protein_coding	Downregulated		
ENSMUSG00000042429	Adora1	1.27e-08	-2.380895946	protein_coding	protein_coding	Downregulated	ENSMUSG00000042429	ENSG00000163485
MSTRG.23774	MSTRG.23774	1.26e-08	-2.379024075	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000022993	4930415O20Rik	0.0032959440000000003	-2.376617888	protein_coding	protein_coding	Downregulated	ENSMUSG00000022993	-
ENSMUSG00000026676	Ccdc3	0.002332013	-2.359766602	protein_coding	protein_coding	Downregulated	ENSMUSG00000026676	ENSG00000151468
ENSMUSG00000030790	Adm	0.005583835	-2.359069593	protein_coding	protein_coding	Downregulated	ENSMUSG00000030790	ENSG00000148926
ENSMUSG00000026873	Phf19	7.73e-14	-2.32046437	protein_coding	protein_coding	Downregulated	ENSMUSG00000026873	ENSG00000119403
MSTRG.26906	MSTRG.26906	0.000560605	-2.310043895	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000025608	Podxl	7.57e-05	-2.302427418	protein_coding	protein_coding	Downregulated	ENSMUSG00000025608	ENSG00000128567
MSTRG.24464	MSTRG.24464	0.001123638	-2.3024263019999998	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000074651	Mcidas	0.04890471	-2.294978425	protein_coding	protein_coding	Downregulated	ENSMUSG00000074651	ENSG00000234602
ENSMUSG00000066607	6030419C18Rik	0.0013954739999999998	-2.287938994	protein_coding	protein_coding	Downregulated	ENSMUSG00000066607	ENSG00000205363
ENSMUSG00000026401	Cd55b	3.91e-06	-2.26836639	protein_coding	protein_coding	Downregulated	ENSMUSG00000026401	ENSG00000196352
ENSMUSG00000026959	Grin1	0.029197887999999998	-2.255761369	protein_coding	protein_coding	Downregulated	ENSMUSG00000026959	ENSG00000176884
ENSMUSG00000067750	Khdc1a	0.011573466000000001	-2.254301287	protein_coding	protein_coding	Downregulated	ENSMUSG00000067750	-
ENSMUSG00000067750	Khdc1a	0.011573466000000001	-2.254301287	protein_coding	protein_coding	Downregulated	ENSMUSG00000067750	ENSG00000256980
ENSMUSG00000067750	Khdc1a	0.011573466000000001	-2.254301287	protein_coding	protein_coding	Downregulated	ENSMUSG00000067750	ENSG00000135314
ENSMUSG00000038079	Tmem237	0.001479441	-2.254064679	protein_coding	protein_coding	Downregulated	ENSMUSG00000038079	ENSG00000155755
MSTRG.9074	MSTRG.9074	0.019525221000000002	-2.252256965	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000028539	Artn	0.008521633	-2.24152042	protein_coding	protein_coding	Downregulated	ENSMUSG00000028539	ENSG00000117407
ENSMUSG00000078502	Gm13212	3.2599999999999997e-16	-2.218688476	protein_coding	protein_coding	Downregulated		
ENSMUSG00000030785	Cox6a2	0.001654377	-2.2151510269999997	protein_coding	protein_coding	Downregulated	ENSMUSG00000030785	ENSG00000156885
ENSMUSG00000031465	Angpt2	4.78e-09	-2.206877522	protein_coding	protein_coding	Downregulated	ENSMUSG00000031465	ENSG00000091879
ENSMUSG00000089812	Gm15867	0.027357907999999997	-2.200875254	other	other	Downregulated		
ENSMUSG00000107429	Gm44206	2.78e-06	-2.191064221	other	other	Downregulated		
MSTRG.10383	MSTRG.10383	0.013653426000000001	-2.186656062	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000097415	AU020206	1.26e-10	-2.174279253	lincRNA	lincRNA	Downregulated		
MSTRG.15845	MSTRG.15845	2.5499999999999997e-08	-2.147389719	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000110631	RP24-286J21.7	1.8100000000000002e-09	-2.135652507	lincRNA	lincRNA	Downregulated		
ENSMUSG00000028763	Hspg2	7.83e-14	-2.135537273	protein_coding	protein_coding	Downregulated	ENSMUSG00000028763	ENSG00000142798
ENSMUSG00000060961	Slc4a4	3.64e-11	-2.1339524340000002	protein_coding	protein_coding	Downregulated	ENSMUSG00000060961	ENSG00000080493
MSTRG.12085	MSTRG.12085	2.0300000000000002e-05	-2.128018707	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000009378	Slc16a12	3.34e-13	-2.119900176	protein_coding	protein_coding	Downregulated	ENSMUSG00000009378	ENSG00000152779
ENSMUSG00000040231	Syngr4	0.0062204930000000005	-2.119866408	protein_coding	protein_coding	Downregulated	ENSMUSG00000040231	ENSG00000105467
ENSMUSG00000031558	Slit2	1.25e-08	-2.1093464269999997	protein_coding	protein_coding	Downregulated	ENSMUSG00000031558	ENSG00000145147
ENSMUSG00000037474	Dtl	1.1699999999999999e-09	-2.107248289	protein_coding	protein_coding	Downregulated	ENSMUSG00000037474	ENSG00000143476
ENSMUSG00000025991	Cps1	3.41e-12	-2.105257015	protein_coding	protein_coding	Downregulated	ENSMUSG00000025991	ENSG00000021826
ENSMUSG00000042942	Greb1l	0.000140028	-2.105146253	protein_coding	protein_coding	Downregulated	ENSMUSG00000042942	ENSG00000141449
ENSMUSG00000046160	Olig1	0.036325498	-2.098284468	protein_coding	protein_coding	Downregulated	ENSMUSG00000046160	ENSG00000184221
ENSMUSG00000068744	Psrc1	1.53e-05	-2.097988714	protein_coding	protein_coding	Downregulated	ENSMUSG00000068744	ENSG00000134222
ENSMUSG00000022528	Hes1	1.56e-06	-2.096455344	protein_coding	protein_coding	Downregulated	ENSMUSG00000022528	ENSG00000114315
ENSMUSG00000020044	Timp3	2.33e-09	-2.094012915	protein_coding	protein_coding	Downregulated	ENSMUSG00000020044	ENSG00000100234
ENSMUSG00000047702	Olfr1388	3.04e-06	-2.093750194	protein_coding	protein_coding	Downregulated		
ENSMUSG00000107278	Gm42600	0.036458372999999995	-2.082939133	other	other	Downregulated		
ENSMUSG00000044320	1700001O22Rik	0.00024822900000000004	-2.075429846	protein_coding	protein_coding	Downregulated	ENSMUSG00000044320	ENSG00000179058
ENSMUSG00000025001	Hells	7.469999999999999e-13	-2.074738916	protein_coding	protein_coding	Downregulated	ENSMUSG00000025001	ENSG00000119969
ENSMUSG00000000037	Scml2	0.001905995	-2.073456486	protein_coding	protein_coding	Downregulated	ENSMUSG00000000037	ENSG00000102098
ENSMUSG00000028039	Efna3	0.003921465	-2.072167162	protein_coding	protein_coding	Downregulated	ENSMUSG00000028039	ENSG00000143590
ENSMUSG00000104090	Gm34267	0.001979189	-2.068127034	other	other	Downregulated		
ENSMUSG00000054342	Kcnn4	1.07e-05	-2.063562218	protein_coding	protein_coding	Downregulated	ENSMUSG00000054342	ENSG00000104783
ENSMUSG00000097313	Gm26569	0.021010672999999997	-2.0628855919999998	lincRNA	lincRNA	Downregulated		
ENSMUSG00000048534	Amica1	5.4500000000000005e-08	-2.060548909	protein_coding	protein_coding	Downregulated	ENSMUSG00000048534	ENSG00000160593
ENSMUSG00000024935	Slc1a1	5.3e-06	-2.052423655	protein_coding	protein_coding	Downregulated	ENSMUSG00000024935	ENSG00000106688
ENSMUSG00000029716	Tfr2	0.014943298999999998	-2.0520295859999997	protein_coding	protein_coding	Downregulated	ENSMUSG00000029716	ENSG00000106327
ENSMUSG00000068877	Selenbp2	0.015457061999999999	-2.04978971	protein_coding	protein_coding	Downregulated	ENSMUSG00000068877	ENSG00000143416
ENSMUSG00000110456	RP23-91H23.4	0.018654576000000003	-2.04876385	other	other	Downregulated		
ENSMUSG00000029436	Mmp17	1.92e-05	-2.034383635	protein_coding	protein_coding	Downregulated	ENSMUSG00000029436	ENSG00000198598
ENSMUSG00000056758	Hmga2	1.18e-11	-2.033925936	protein_coding	protein_coding	Downregulated	ENSMUSG00000056758	ENSG00000149948
MSTRG.20669	MSTRG.20669	8.57e-06	-2.032683025	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000021175	Cdca7l	8.2e-11	-2.0317813730000003	protein_coding	protein_coding	Downregulated	ENSMUSG00000021175	ENSG00000164649
ENSMUSG00000041301	Cftr	2.61e-34	-2.030448344	protein_coding	protein_coding	Downregulated	ENSMUSG00000041301	ENSG00000001626
ENSMUSG00000031562	Dctd	1.6199999999999998e-10	-2.0297634540000002	protein_coding	protein_coding	Downregulated	ENSMUSG00000031562	ENSG00000129187
ENSMUSG00000104563	Gm43041	6.65e-05	-2.027682377	other	other	Downregulated		
ENSMUSG00000090486	BC035947	2.3100000000000002e-05	-2.027400318	protein_coding	protein_coding	Downregulated		
ENSMUSG00000035459	Stab2	0.004419398	-2.023080061	protein_coding	protein_coding	Downregulated	ENSMUSG00000035459	ENSG00000136011
ENSMUSG00000048779	P2ry6	5.49e-06	-2.021454019	protein_coding	protein_coding	Downregulated	ENSMUSG00000048779	ENSG00000171631
ENSMUSG00000029862	Clcn1	0.0023153229999999998	-2.019597027	protein_coding	protein_coding	Downregulated	ENSMUSG00000029862	ENSG00000188037
ENSMUSG00000094928	1700122O11Rik	0.024229429	-2.019272327	protein_coding	protein_coding	Downregulated		
ENSMUSG00000059060	Rad51b	7.71e-08	-2.014314352	protein_coding	protein_coding	Downregulated	ENSMUSG00000059060	ENSG00000182185
ENSMUSG00000031453	Rasa3	3.6200000000000003e-12	-2.01334544	protein_coding	protein_coding	Downregulated	ENSMUSG00000031453	ENSG00000280477; ENSG00000185989
ENSMUSG00000048373	Fgfbp1	3.88e-08	-2.01092381	protein_coding	protein_coding	Downregulated	ENSMUSG00000048373	ENSG00000137440
ENSMUSG00000014164	Klhl3	1.04e-05	-2.007173472	protein_coding	protein_coding	Downregulated	ENSMUSG00000014164	ENSG00000146021
ENSMUSG00000032278	Paqr5	0.005853232	-2.007007008	protein_coding	protein_coding	Downregulated	ENSMUSG00000032278	ENSG00000137819
ENSMUSG00000009633	G0s2	6.66e-06	-2.005336224	protein_coding	protein_coding	Downregulated	ENSMUSG00000009633	ENSG00000123689
MSTRG.18649	MSTRG.18649	0.039565481	-2.004792592	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000097519	4930558J18Rik	0.000227856	-2.004254231	lincRNA	lincRNA	Downregulated		
mmu-miR-218-5p	mmu-miR-218-5p	3.19e-05	-2.004057682	miRNA		Downregulated		
ENSMUSG00000041577	Prelp	5.99e-06	-2.0025537069999997	protein_coding	protein_coding	Downregulated	ENSMUSG00000041577	ENSG00000188783
ENSMUSG00000051067	Lingo3	0.030046682999999998	-1.991633309	protein_coding	protein_coding	Downregulated	ENSMUSG00000051067	ENSG00000220008
ENSMUSG00000044966	Fbxo48	4.13e-05	-1.989175678	protein_coding	protein_coding	Downregulated	ENSMUSG00000044966	ENSG00000204923
ENSMUSG00000108366	Gm5586	0.038373544	-1.986154681	other	other	Downregulated		
MSTRG.21472	MSTRG.21472	0.007085399	-1.9839607190000002	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000004654	Ghrhr	0.005995458	-1.982772125	protein_coding	protein_coding	Downregulated	ENSMUSG00000004654	ENSG00000106128
MSTRG.26902	MSTRG.26902	0.003620777	-1.9797649640000001	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000017724	Etv4	7.98e-09	-1.9760231430000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000017724	ENSG00000175832
MSTRG.10379	MSTRG.10379	0.045025212	-1.9716079359999998	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
MSTRG.39340	MSTRG.39340	0.00406387	-1.9680159730000002	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000079550	Mpp4	0.007067800999999999	-1.967309019	protein_coding	protein_coding	Downregulated	ENSMUSG00000079550	ENSG00000082126
ENSMUSG00000059791	Nrm	6.8e-07	-1.96727769	protein_coding	protein_coding	Downregulated	ENSMUSG00000059791	ENSG00000228854; ENSG00000236843; ENSG00000228867; ENSG00000137404; ENSG00000234809; ENSG00000206484; ENSG00000235773
MSTRG.3175	MSTRG.3175	0.006175179	-1.96650013	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000062175	Tgif2	1.7800000000000002e-05	-1.965981594	protein_coding	protein_coding	Downregulated	ENSMUSG00000062175	ENSG00000118707
ENSMUSG00000033022	Cdo1	2.44e-05	-1.964622532	protein_coding	protein_coding	Downregulated	ENSMUSG00000033022	ENSG00000129596
ENSMUSG00000032092	Mpzl2	4.82e-25	-1.9580881909999999	protein_coding	protein_coding	Downregulated	ENSMUSG00000032092	ENSG00000149573
ENSMUSG00000109936	RP23-145I16.5	0.01559979	-1.9558211159999999	lincRNA	lincRNA	Downregulated		
MSTRG.39499	MSTRG.39499	0.030410525	-1.952944911	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
