target_id	gene_name	qval	log2fc	final_annotation	direction	final_annotation.y
ENSMUSG00000001761	Smo	0.025094055	-1.12263049	protein_coding	Downregulated	protein_coding
ENSMUSG00000001802	Lrp3	2.74E-09	4.143024455	protein_coding	Upregulated	protein_coding
ENSMUSG00000001819	Hoxd13	1.48E-08	6.142596847	protein_coding	Upregulated	protein_coding
ENSMUSG00000001864	Aif1l	0.026061479	-1.835938841	protein_coding	Downregulated	protein_coding
ENSMUSG00000001901	Kcnh6	3.16E-24	4.54378872	protein_coding	Upregulated	protein_coding
ENSMUSG00000001946	Esam	6.75E-06	1.696991815	protein_coding	Upregulated	protein_coding
ENSMUSG00000002006	Pdzd4	1.56E-08	2.553108932	protein_coding	Upregulated	protein_coding
ENSMUSG00000002010	Idh3g	1.55E-09	-1.136557596	protein_coding	Downregulated	protein_coding
ENSMUSG00000002043	Trappc6a	0.013085674	-1.036451669	protein_coding	Downregulated	protein_coding
ENSMUSG00000002105	Slc39a13	5.92E-05	1.194074122	protein_coding	Upregulated	protein_coding
ENSMUSG00000002107	Celf2	0.001509355	1.623418892	protein_coding	Upregulated	protein_coding
ENSMUSG00000002108	Nr1h3	9.79E-06	-1.305715009	protein_coding	Downregulated	protein_coding
ENSMUSG00000002265	Peg3	9.29E-49	4.84227786	protein_coding	Upregulated	protein_coding
ENSMUSG00000002266	Zim1	0.002007083	3.31759245	protein_coding	Upregulated	protein_coding
ENSMUSG00000002341	Ncan	0.002023558	2.749544279	protein_coding	Upregulated	protein_coding
ENSMUSG00000002365	Snx9	7.52E-08	-1.123223461	protein_coding	Downregulated	protein_coding
ENSMUSG00000002384	Bmp8b	0.003453213	1.514437393	protein_coding	Upregulated	protein_coding
ENSMUSG00000002475	Abhd3	0.002665983	-1.028709812	protein_coding	Downregulated	protein_coding
ENSMUSG00000002504	Slc9a3r2	0.000275196	1.033927493	protein_coding	Upregulated	protein_coding
ENSMUSG00000002565	Scin	1.29E-11	-3.05840337	protein_coding	Downregulated	protein_coding
ENSMUSG00000002578	Ikzf4	0.000887022	2.517464135	protein_coding	Upregulated	protein_coding
ENSMUSG00000002625	Akap8l	3.23E-06	1.042902374	protein_coding	Upregulated	protein_coding
ENSMUSG00000002633	Shh	9.45E-21	7.038157372	protein_coding	Upregulated	protein_coding
ENSMUSG00000002668	Dennd1c	0.004848537	2.961999513	protein_coding	Upregulated	protein_coding
ENSMUSG00000002769	Gnmt	3.02E-08	2.785787139	protein_coding	Upregulated	protein_coding
ENSMUSG00000002781	Tmem143	3.52E-06	-1.476596127	protein_coding	Downregulated	protein_coding
ENSMUSG00000002799	Jag2	9.18E-07	-1.303403379	protein_coding	Downregulated	protein_coding
ENSMUSG00000002847	Pla1a	8.22E-10	4.061373259	protein_coding	Upregulated	protein_coding
ENSMUSG00000002885	Adgre5	4.93E-14	1.489771848	protein_coding	Upregulated	protein_coding
ENSMUSG00000002980	Bcam	2.89E-06	1.882156016	protein_coding	Upregulated	protein_coding
ENSMUSG00000002997	Prkar2b	1.51E-14	3.621178906	protein_coding	Upregulated	protein_coding
ENSMUSG00000003123	Lipe	0.00014205	-1.88500658	protein_coding	Downregulated	protein_coding
ENSMUSG00000003134	Tbc1d8	9.53E-14	1.488313032	protein_coding	Upregulated	protein_coding
ENSMUSG00000003199	Mpnd	4.37E-08	-1.101795068	protein_coding	Downregulated	protein_coding
ENSMUSG00000003273	Car11	0.000244871	2.39488234	protein_coding	Upregulated	protein_coding
ENSMUSG00000003352	Cacnb3	1.34E-08	1.321477944	protein_coding	Upregulated	protein_coding
ENSMUSG00000003355	Fkbp11	0.00010558	1.242584044	protein_coding	Upregulated	protein_coding
ENSMUSG00000003363	Pld3	1.68E-19	1.826882501	protein_coding	Upregulated	protein_coding
ENSMUSG00000003380	Rabac1	0.001512157	1.186536124	protein_coding	Upregulated	protein_coding
ENSMUSG00000003418	St8sia6	0.001378592	3.33047895	protein_coding	Upregulated	protein_coding
ENSMUSG00000003420	Fcgrt	4.49E-07	-2.734741326	protein_coding	Downregulated	protein_coding
ENSMUSG00000003436	Dll3	0.011352457	2.339669864	protein_coding	Upregulated	protein_coding
ENSMUSG00000003452	Bicd1	0.006297115	2.151988629	protein_coding	Upregulated	protein_coding
ENSMUSG00000003469	Phyhip	0.047334688	1.583701446	protein_coding	Upregulated	protein_coding
ENSMUSG00000003518	Dusp3	3.09E-07	1.058646092	protein_coding	Upregulated	protein_coding
ENSMUSG00000003528	Slc25a1	2.46E-05	-1.266344919	protein_coding	Downregulated	protein_coding
ENSMUSG00000003541	Ier3	1.63E-09	1.251519831	protein_coding	Upregulated	protein_coding
ENSMUSG00000003545	Fosb	0.015691121	1.621169055	protein_coding	Upregulated	protein_coding
ENSMUSG00000003573	Homer3	0.000118723	1.164278059	protein_coding	Upregulated	protein_coding
ENSMUSG00000003865	Gys1	1.30E-08	-1.694825451	protein_coding	Downregulated	protein_coding
ENSMUSG00000003949	Hlf	0.003049318	-2.572943479	protein_coding	Downregulated	protein_coding
ENSMUSG00000003955	Fam162a	1.27E-05	-2.369735492	protein_coding	Downregulated	protein_coding
ENSMUSG00000004038	Gstm3	0.006134506	-2.229043838	protein_coding	Downregulated	protein_coding
ENSMUSG00000004044	Ptrf	6.33E-05	1.407828025	protein_coding	Upregulated	protein_coding
ENSMUSG00000004113	Cacna1b	3.21E-06	3.640777645	protein_coding	Upregulated	protein_coding
ENSMUSG00000004151	Etv1	2.05E-35	4.486581667	protein_coding	Upregulated	protein_coding
ENSMUSG00000004270	Lpcat3	1.83E-08	-1.332153496	protein_coding	Downregulated	protein_coding
ENSMUSG00000004328	Hif3a	9.11E-05	-3.65612698	protein_coding	Downregulated	protein_coding
ENSMUSG00000004347	Pde1c	1.30E-10	3.133089085	protein_coding	Upregulated	protein_coding
ENSMUSG00000004415	Col26a1	0.014179547	-2.105296709	protein_coding	Downregulated	protein_coding
ENSMUSG00000004540	Psg17	0.001160181	-2.860550077	protein_coding	Downregulated	protein_coding
ENSMUSG00000004558	Ndrg2	1.94E-06	-2.336507613	protein_coding	Downregulated	protein_coding
ENSMUSG00000004654	Ghrhr	0.003577802	-2.277925281	protein_coding	Downregulated	protein_coding
ENSMUSG00000004709	Cd244	7.28E-24	3.228409552	protein_coding	Upregulated	protein_coding
ENSMUSG00000004768	Rab23	0.000154739	1.244791179	protein_coding	Upregulated	protein_coding
ENSMUSG00000004789	Dlst	1.82E-05	-1.022048581	protein_coding	Downregulated	protein_coding
ENSMUSG00000004864	Mapk13	0.000187138	-1.133329424	protein_coding	Downregulated	protein_coding
ENSMUSG00000004880	Lbr	2.08E-06	-1.068760189	protein_coding	Downregulated	protein_coding
ENSMUSG00000004951	Hspb1	6.07E-06	3.469040608	protein_coding	Upregulated	protein_coding
ENSMUSG00000004961	Syt5	4.54E-11	4.361186436	protein_coding	Upregulated	protein_coding
ENSMUSG00000005107	Slc2a9	6.00E-07	-1.237282825	protein_coding	Downregulated	protein_coding
ENSMUSG00000005125	Ndrg1	2.47E-06	-2.056213309	protein_coding	Downregulated	protein_coding
ENSMUSG00000005237	Dnah2	6.44E-13	-3.776193291	protein_coding	Downregulated	protein_coding
ENSMUSG00000005267	Zfp287	3.81E-05	2.115485412	protein_coding	Upregulated	protein_coding
ENSMUSG00000005268	Prlr	1.63E-29	-3.287825886	protein_coding	Downregulated	protein_coding
ENSMUSG00000005320	Fgfr4	0.026160025	1.339316145	protein_coding	Upregulated	protein_coding
ENSMUSG00000005355	Casp14	0.000339748	2.52695482	protein_coding	Upregulated	protein_coding
ENSMUSG00000005360	Slc1a3	5.89E-08	-1.988369088	protein_coding	Downregulated	protein_coding
ENSMUSG00000005373	Mlxipl	0.000121655	-1.376481311	protein_coding	Downregulated	protein_coding
ENSMUSG00000005413	Hmox1	0.013368761	1.396915218	protein_coding	Upregulated	protein_coding
ENSMUSG00000005447	Pafah1b3	0.000399986	-1.092096807	protein_coding	Downregulated	protein_coding
ENSMUSG00000005470	Asf1b	5.73E-07	-1.244246175	protein_coding	Downregulated	protein_coding
ENSMUSG00000005503	Evx1	5.92E-15	7.034930775	protein_coding	Upregulated	protein_coding
ENSMUSG00000005514	Por	0.00065116	-1.181484649	protein_coding	Downregulated	protein_coding
ENSMUSG00000005553	Atp4a	0.001657683	-1.29072739	protein_coding	Downregulated	protein_coding
ENSMUSG00000005611	Mrvi1	0.01492181	-1.643721021	protein_coding	Downregulated	protein_coding
ENSMUSG00000005672	Kit	7.02E-16	2.533227647	protein_coding	Upregulated	protein_coding
ENSMUSG00000005677	Nr1i3	1.39E-12	-2.993448305	protein_coding	Downregulated	protein_coding
ENSMUSG00000005873	Reep5	3.05E-20	2.220634568	protein_coding	Upregulated	protein_coding
ENSMUSG00000005949	Ctns	2.58E-06	1.256069055	protein_coding	Upregulated	protein_coding
ENSMUSG00000005951	Shpk	0.012345405	-1.083986117	protein_coding	Downregulated	protein_coding
ENSMUSG00000005958	Ephb3	0.004537852	1.349062163	protein_coding	Upregulated	protein_coding
ENSMUSG00000005968	Tuft1	6.14E-06	1.013707457	protein_coding	Upregulated	protein_coding
ENSMUSG00000005973	Rcn1	2.54E-06	1.817187093	protein_coding	Upregulated	protein_coding
ENSMUSG00000005981	Trap1	4.47E-09	-1.158099673	protein_coding	Downregulated	protein_coding
ENSMUSG00000005986	Ankrd13d	0.041703903	1.454803909	protein_coding	Upregulated	protein_coding
ENSMUSG00000006179	Prss16	0.004075433	-1.172776462	protein_coding	Downregulated	protein_coding
ENSMUSG00000006273	Atp6v1b2	1.59E-11	1.2753861	protein_coding	Upregulated	protein_coding
ENSMUSG00000006281	Tep1	2.54E-07	-1.281585699	protein_coding	Downregulated	protein_coding
ENSMUSG00000006342	Susd2	0.007467603	1.450141888	protein_coding	Upregulated	protein_coding
ENSMUSG00000006345	Ggt1	8.37E-24	-4.31250865	protein_coding	Downregulated	protein_coding
ENSMUSG00000006356	Crip2	3.47E-10	2.58228402	protein_coding	Upregulated	protein_coding
ENSMUSG00000006360	Crip1	9.72E-08	-2.642532767	protein_coding	Downregulated	protein_coding
ENSMUSG00000006362	Cbfa2t3	1.47E-09	2.688701562	protein_coding	Upregulated	protein_coding
ENSMUSG00000006369	Fbln1	7.62E-05	-1.213073145	protein_coding	Downregulated	protein_coding
ENSMUSG00000006378	Gcat	8.28E-05	-1.048417925	protein_coding	Downregulated	protein_coding
ENSMUSG00000006411	Nectin4	7.02E-07	1.581690861	protein_coding	Upregulated	protein_coding
ENSMUSG00000006435	Neurl1a	4.25E-14	3.356163078	protein_coding	Upregulated	protein_coding
ENSMUSG00000006463	Zdhhc24	2.81E-08	1.301113335	protein_coding	Upregulated	protein_coding
ENSMUSG00000006464	Bbs1	1.35E-08	1.795081245	protein_coding	Upregulated	protein_coding
ENSMUSG00000006494	Pdk1	9.18E-20	-3.58718538	protein_coding	Downregulated	protein_coding
ENSMUSG00000006517	Mvd	9.72E-06	-1.338679128	protein_coding	Downregulated	protein_coding
ENSMUSG00000006546	Cryba2	1.88E-12	4.044629176	protein_coding	Upregulated	protein_coding
ENSMUSG00000006575	Rundc3a	3.71E-18	4.531455222	protein_coding	Upregulated	protein_coding
ENSMUSG00000006586	Runx1t1	3.14E-09	4.018599063	protein_coding	Upregulated	protein_coding
ENSMUSG00000006638	Abhd1	0.000495839	-2.199653787	other	Downregulated	other
ENSMUSG00000006642	Tcf23	2.76E-12	-2.28143802	protein_coding	Downregulated	protein_coding
ENSMUSG00000006651	Aplp1	1.94E-18	2.804685887	protein_coding	Upregulated	protein_coding
ENSMUSG00000006675	P4htm	0.001040967	3.489356559	protein_coding	Upregulated	protein_coding
ENSMUSG00000006711	D130043K22Rik	0.044724735	-3.422613112	protein_coding	Downregulated	protein_coding
ENSMUSG00000006731	B4galnt1	1.12E-11	-1.5495869	protein_coding	Downregulated	protein_coding
ENSMUSG00000006777	Krt23	6.02E-17	1.937886789	protein_coding	Upregulated	protein_coding
ENSMUSG00000006800	Sulf2	0.020973477	-1.062059878	protein_coding	Downregulated	protein_coding
ENSMUSG00000006930	Hap1	8.74E-12	2.948019824	protein_coding	Upregulated	protein_coding
ENSMUSG00000006958	Chrd	0.002371461	2.587198268	protein_coding	Upregulated	protein_coding
ENSMUSG00000007039	Ddah2	3.46E-07	1.789609364	protein_coding	Upregulated	protein_coding
ENSMUSG00000007207	Stx1a	6.64E-09	1.498376414	protein_coding	Upregulated	protein_coding
ENSMUSG00000007783	Cpt1c	2.20E-15	3.199785544	protein_coding	Upregulated	protein_coding
ENSMUSG00000007833	Aldh16a1	9.43E-07	-1.159341131	protein_coding	Downregulated	protein_coding
ENSMUSG00000007888	Crlf1	0.000351507	2.247152457	protein_coding	Upregulated	protein_coding
ENSMUSG00000007950	Abhd8	3.66E-06	2.161527303	protein_coding	Upregulated	protein_coding
ENSMUSG00000007989	Fzd3	3.88E-05	2.686031785	protein_coding	Upregulated	protein_coding
ENSMUSG00000008090	Fgfrl1	4.97E-11	1.55350165	protein_coding	Upregulated	protein_coding
ENSMUSG00000008398	Elk3	9.07E-23	3.981910501	protein_coding	Upregulated	protein_coding
ENSMUSG00000008461	Fut1	0.000730583	1.269737914	protein_coding	Upregulated	protein_coding
ENSMUSG00000008540	Mgst1	1.12E-11	-2.661722028	protein_coding	Downregulated	protein_coding
ENSMUSG00000008734	Gprc5b	0.018401327	1.774672493	protein_coding	Upregulated	protein_coding
ENSMUSG00000009246	Trpm5	0.007583506	1.390261312	protein_coding	Upregulated	protein_coding
ENSMUSG00000009378	Slc16a12	5.18E-34	-3.840600788	protein_coding	Downregulated	protein_coding
ENSMUSG00000009394	Syn2	1.03E-09	2.514992783	protein_coding	Upregulated	protein_coding
ENSMUSG00000009614	Sardh	0.015141144	-1.796132853	protein_coding	Downregulated	protein_coding
ENSMUSG00000009633	G0s2	0.001900406	-1.580997215	protein_coding	Downregulated	protein_coding
ENSMUSG00000009646	Pla2g12b	1.45E-05	-1.890561621	protein_coding	Downregulated	protein_coding
ENSMUSG00000009687	Fxyd5	0.001190203	2.884834272	protein_coding	Upregulated	protein_coding
ENSMUSG00000009739	Pou6f1	0.000123926	1.526275056	protein_coding	Upregulated	protein_coding
ENSMUSG00000009863	Sdhb	0.002320286	-1.169243599	protein_coding	Downregulated	protein_coding
ENSMUSG00000010021	Kif19a	9.00E-38	6.130481749	protein_coding	Upregulated	protein_coding
ENSMUSG00000010051	Hyal1	6.24E-06	1.461261861	protein_coding	Upregulated	protein_coding
ENSMUSG00000010122	Slc47a1	0.000281379	-1.936050206	protein_coding	Downregulated	protein_coding
ENSMUSG00000010175	Prox1	9.74E-28	5.236649208	protein_coding	Upregulated	protein_coding
ENSMUSG00000010307	Tmem86a	0.00013116	1.186996996	protein_coding	Upregulated	protein_coding
ENSMUSG00000010362	Rdm1	0.000296648	-1.774363736	protein_coding	Downregulated	protein_coding
ENSMUSG00000010505	Myt1	7.97E-18	3.699384357	protein_coding	Upregulated	protein_coding
ENSMUSG00000010601	Apol7a	6.19E-05	-1.484957463	protein_coding	Downregulated	protein_coding
ENSMUSG00000010651	Acaa1b	1.44E-06	-2.696070972	protein_coding	Downregulated	protein_coding
ENSMUSG00000010663	Fads1	3.88E-11	-1.812712773	protein_coding	Downregulated	protein_coding
ENSMUSG00000010803	Gabra1	0.02482322	1.946559065	protein_coding	Upregulated	protein_coding
ENSMUSG00000010830	Kdelr3	4.00E-06	1.622616223	protein_coding	Upregulated	protein_coding
ENSMUSG00000010911	Apip	0.008324034	1.328035149	protein_coding	Upregulated	protein_coding
ENSMUSG00000011008	Mcoln2	1.14E-16	-2.907956523	protein_coding	Downregulated	protein_coding
ENSMUSG00000011034	Slc5a1	1.44E-08	-2.993296027	protein_coding	Downregulated	protein_coding
ENSMUSG00000011148	Adssl1	0.00414802	-2.285947845	protein_coding	Downregulated	protein_coding
ENSMUSG00000011382	Dhdh	0.00018636	-1.87937772	protein_coding	Downregulated	protein_coding
ENSMUSG00000011589	Fsd1	0.000129853	-2.344312498	protein_coding	Downregulated	protein_coding
ENSMUSG00000011632	Pinlyp	0.007530649	2.496011209	protein_coding	Upregulated	protein_coding
ENSMUSG00000011752	Pgam1	5.59E-08	-2.030871608	protein_coding	Downregulated	protein_coding
ENSMUSG00000012017	Scarf2	0.011423775	1.376585806	protein_coding	Upregulated	protein_coding
ENSMUSG00000012123	Aim1l	0.00189315	-1.249703879	protein_coding	Downregulated	protein_coding
ENSMUSG00000012126	Ubxn11	0.013724762	1.953592953	protein_coding	Upregulated	protein_coding
ENSMUSG00000012443	Kif11	1.53E-08	-1.354512792	protein_coding	Downregulated	protein_coding
ENSMUSG00000013076	Amotl1	0.001106814	2.155691145	protein_coding	Upregulated	protein_coding
ENSMUSG00000013083	2200002J24Rik	6.98E-08	-2.401565065	protein_coding	Downregulated	protein_coding
ENSMUSG00000013089	Etv5	0.002007113	-1.137071475	protein_coding	Downregulated	protein_coding
ENSMUSG00000013160	Atp6v0d1	2.07E-08	1.086957773	protein_coding	Upregulated	protein_coding
ENSMUSG00000013338	Fer1l4	0.000141107	2.924167555	protein_coding	Upregulated	protein_coding
ENSMUSG00000013418	B4galnt2	5.19E-05	-1.187307181	protein_coding	Downregulated	protein_coding
ENSMUSG00000013523	Bcas1	0.006135745	1.123401361	protein_coding	Upregulated	protein_coding
ENSMUSG00000013593	Ndufs2	1.23E-06	-1.016487754	protein_coding	Downregulated	protein_coding
ENSMUSG00000013698	Pea15a	3.09E-09	1.378154976	protein_coding	Upregulated	protein_coding
ENSMUSG00000013766	Ly6g6e	0.03460925	-1.448676939	protein_coding	Downregulated	protein_coding
ENSMUSG00000013846	St3gal1	3.25E-10	1.500393811	protein_coding	Upregulated	protein_coding
ENSMUSG00000013921	Clip3	4.34E-06	4.046398858	protein_coding	Upregulated	protein_coding
ENSMUSG00000014164	Klhl3	0.00013106	-1.946919139	protein_coding	Downregulated	protein_coding
ENSMUSG00000014303	Glis2	1.73E-06	1.789972026	protein_coding	Upregulated	protein_coding
ENSMUSG00000014351	Gip	0.002432152	2.079197916	protein_coding	Upregulated	protein_coding
ENSMUSG00000014361	Mertk	2.92E-12	-2.457171302	protein_coding	Downregulated	protein_coding
ENSMUSG00000014599	Csf1	1.52E-12	3.50241403	protein_coding	Upregulated	protein_coding
ENSMUSG00000014602	Kif1a	1.10E-09	3.371103613	protein_coding	Upregulated	protein_coding
ENSMUSG00000014846	Tppp3	1.65E-05	2.258717414	protein_coding	Upregulated	protein_coding
ENSMUSG00000014905	Dnajb9	2.08E-11	1.323163957	protein_coding	Upregulated	protein_coding
ENSMUSG00000015093	Clic3	0.036246577	1.807748855	protein_coding	Upregulated	protein_coding
ENSMUSG00000015094	Npdc1	1.95E-19	1.861186207	protein_coding	Upregulated	protein_coding
ENSMUSG00000015112	Slc25a13	7.08E-06	-1.27782617	protein_coding	Downregulated	protein_coding
ENSMUSG00000015134	Aldh1a3	0.007575779	1.643195569	protein_coding	Upregulated	protein_coding
ENSMUSG00000015189	Casd1	0.036405352	1.182496992	protein_coding	Upregulated	protein_coding
ENSMUSG00000015222	Map2	0.011557106	2.364308694	protein_coding	Upregulated	protein_coding
ENSMUSG00000015224	Cyp2j9	1.17E-05	-1.969765146	protein_coding	Downregulated	protein_coding
ENSMUSG00000015340	Cybb	0.023879082	1.875178378	protein_coding	Upregulated	protein_coding
ENSMUSG00000015342	Xk	0.015172867	1.09997095	protein_coding	Upregulated	protein_coding
ENSMUSG00000015396	Cd83	3.69E-06	1.15793814	protein_coding	Upregulated	protein_coding
ENSMUSG00000015401	Tmem27	1.03E-21	3.606449935	protein_coding	Upregulated	protein_coding
ENSMUSG00000015405	Ace2	4.12E-07	-2.316418262	protein_coding	Downregulated	protein_coding
ENSMUSG00000015533	Itga2	1.20E-14	-1.750203941	protein_coding	Downregulated	protein_coding
ENSMUSG00000015568	Lpl	0.000230038	2.612365851	protein_coding	Upregulated	protein_coding
ENSMUSG00000015599	Ttbk1	0.025684513	2.214467588	protein_coding	Upregulated	protein_coding
ENSMUSG00000015627	Gata5	5.09E-10	1.172073031	protein_coding	Upregulated	protein_coding
ENSMUSG00000015647	Lama5	0.000407577	1.37451176	protein_coding	Upregulated	protein_coding
ENSMUSG00000015709	Arnt2	3.13E-05	1.788881168	protein_coding	Upregulated	protein_coding
ENSMUSG00000015745	Plekho1	9.78E-09	3.686043114	protein_coding	Upregulated	protein_coding
ENSMUSG00000015806	Qdpr	4.81E-05	-1.069519852	protein_coding	Downregulated	protein_coding
ENSMUSG00000015829	Tnr	7.73E-06	3.350477199	protein_coding	Upregulated	protein_coding
ENSMUSG00000015837	Sqstm1	5.83E-20	1.711273767	protein_coding	Upregulated	protein_coding
ENSMUSG00000015846	Rxra	2.56E-09	-1.813920508	protein_coding	Downregulated	protein_coding
ENSMUSG00000015850	Adamtsl4	0.009797281	1.749115145	protein_coding	Upregulated	protein_coding
ENSMUSG00000015879	Fam184b	0.012207647	-3.664115744	protein_coding	Downregulated	protein_coding
ENSMUSG00000015880	Ncapg	0.000217585	-1.089685422	protein_coding	Downregulated	protein_coding
ENSMUSG00000015962	1700016C15Rik	8.99E-16	2.070792373	protein_coding	Upregulated	protein_coding
ENSMUSG00000015968	Cacna1d	2.47E-11	3.549774715	protein_coding	Upregulated	protein_coding
ENSMUSG00000016028	Celsr1	0.000371797	-1.064174478	protein_coding	Downregulated	protein_coding
ENSMUSG00000016200	Syt14	1.57E-13	3.993484647	protein_coding	Upregulated	protein_coding
ENSMUSG00000016356	Col20a1	0.008973429	2.236328017	protein_coding	Upregulated	protein_coding
ENSMUSG00000016382	Pls3	0.000928343	1.309037771	protein_coding	Upregulated	protein_coding
ENSMUSG00000016495	Plgrkt	0.006383249	-1.179359211	protein_coding	Downregulated	protein_coding
ENSMUSG00000016534	Lamp2	1.99E-11	1.394044861	protein_coding	Upregulated	protein_coding
ENSMUSG00000016541	Atxn10	1.02E-10	1.21464417	protein_coding	Upregulated	protein_coding
ENSMUSG00000016624	Phf21b	6.98E-05	1.318883277	protein_coding	Upregulated	protein_coding
ENSMUSG00000016758	Bik	5.11E-09	2.04544202	protein_coding	Upregulated	protein_coding
