Human.Uniprot	Human.Ensembl	Mouse.Uniprot	Mouse.Ensembl	Hum.gene.syb
Q6UWH6	ENSG00000144043	Q62302	ENSMUSG00000014748	TEX261
Q969R5	ENSG00000100395	P59178	ENSMUSG00000022394	L3MBTL2
P46926	ENSG00000113552	O88958	ENSMUSG00000052102	GNPDA1
Q9NZM4	ENSG00000063169	F8VPZ9	ENSMUSG00000070808	BICRA
Q13489	ENSG00000023445	O08863	ENSMUSG00000032000	BIRC3
P18507	ENSG00000113327	P22723	ENSMUSG00000020436	GABRG2
Q8TAB5	ENSG00000142686	Q8BP99	ENSMUSG00000073755	C1orf216
Q8N0W5	ENSG00000174628	D3YYL3	ENSMUSG00000073856	IQCK
P55056	ENSG00000267467	Q61268	ENSMUSG00000074336	APOC4
Q9H4M3	ENSG00000132879	Q8BK26	ENSMUSG00000029001	FBXO44
Q8WUP2	ENSG00000162458	Q71FD7	ENSMUSG00000006219	FBLIM1
P60896	ENSG00000127922	P60897	ENSMUSG00000042541	SEM1
A6NNY8	ENSG00000273820	Q8CEG8	ENSMUSG00000046269	USP27X
P01566	ENSG00000186803	P07349	ENSMUSG00000096682	IFNA10
P19338	ENSG00000115053	P09405	ENSMUSG00000026234	NCL
Q99985	ENSG00000075223	Q62181	ENSMUSG00000028780	SEMA3C
Q9BXY8	ENSG00000133134	Q9R224	ENSMUSG00000050071	BEX2
O60925	ENSG00000113068	Q9CWM4	ENSMUSG00000024346	PFDN1
Q9UK28	ENSG00000105696	Q7TNI2	ENSMUSG00000035964	TMEM59L
Q7RTT4	-	B1AUS7	-	SSX8
Q8WW22	ENSG00000140403	Q9JMC3	ENSMUSG00000032285	DNAJA4
Q9BW72	ENSG00000146066	Q9CQJ1	ENSMUSG00000025868	HIGD2A
P01562	ENSG00000197919	Q810G1	ENSMUSG00000078355	IFNA13; IFNA1
P01562	ENSG00000233816	Q810G1	ENSMUSG00000078355	IFNA13; IFNA1
Q13572	ENSG00000274958	Q8BYN3	ENSMUSG00000057963	ITPK1
Q13572	ENSG00000100605	Q8BYN3	ENSMUSG00000057963	ITPK1
Q04724	ENSG00000196781	Q62440	ENSMUSG00000008305	TLE1
P17275	ENSG00000171223	P09450	ENSMUSG00000052837	JUNB
P54132	ENSG00000197299	O88700	ENSMUSG00000030528	BLM
P32314	ENSG00000170802	E9Q7L6	ENSMUSG00000034998	FOXN2
O95171	ENSG00000136155	Q9EQG3	ENSMUSG00000022123	SCEL
Q9H330	ENSG00000106771	B1AZA5	ENSMUSG00000055296	TMEM245
P40126	ENSG00000080166	P29812	ENSMUSG00000022129	DCT
A9QM74	ENSG00000185467	C0LLJ0	ENSMUSG00000038770	KPNA7
A9QM74	ENSG00000284068	C0LLJ0	ENSMUSG00000038770	KPNA7
Q8N8U2	ENSG00000166446	Q9D5D8	ENSMUSG00000031758	CDYL2
Q9NVC3	ENSG00000103042	Q8BWH0	ENSMUSG00000036534	SLC38A7
Q16626	ENSG00000124733	Q64327	ENSMUSG00000002768	MEA1
Q8IWW8	ENSG00000147576	Q8R0N6	ENSMUSG00000025911	ADHFE1
Q8N465	ENSG00000180902	Q8CIM3	ENSMUSG00000073609	D2HGDH
Q5VXI9	ENSG00000204020	Q3U4B4	ENSMUSG00000024770	LIPN
Q8TDD1	ENSG00000123064	Q8K4L0	ENSMUSG00000029599	DDX54
Q15468	ENSG00000123473	Q60988	ENSMUSG00000028718	STIL
Q8IYA7	ENSG00000150051	Q8BIA3	ENSMUSG00000061013	MKX
Q86V59	ENSG00000182013	Q80VM8	ENSMUSG00000041141	PNMA8A
P43268	ENSG00000175832	P28322	ENSMUSG00000017724	ETV4
P82663	ENSG00000131368	Q9D125	ENSMUSG00000014551	MRPS25
Q9UGF6	ENSG00000112461	Q7TRK1	ENSMUSG00000090675	OR5V1
Q9UGF6	ENSG00000243729	Q7TRK1	ENSMUSG00000090675	OR5V1
Q9UGF6	ENSG00000242289	Q7TRK1	ENSMUSG00000090675	OR5V1
Q9UGF6	ENSG00000227137	Q7TRK1	ENSMUSG00000090675	OR5V1
Q9UGF6	ENSG00000230742	Q7TRK1	ENSMUSG00000090675	OR5V1
Q9UGF6	ENSG00000240130	Q7TRK1	ENSMUSG00000090675	OR5V1
Q9UGF6	ENSG00000243441	Q7TRK1	ENSMUSG00000090675	OR5V1
Q9UGF6	ENSG00000233046	Q7TRK1	ENSMUSG00000090675	OR5V1
P55345	ENSG00000160310	Q9R144	ENSMUSG00000020230	PRMT2
A6NMZ2	ENSG00000188817	Q8C9X1	ENSMUSG00000044772	SNTN
Q53GT1	ENSG00000099910	Q99JN2	ENSMUSG00000022750	KLHL22
Q04941	ENSG00000102007	Q9R1Q7	ENSMUSG00000031146	PLP2
Q9Y6R4	ENSG00000085511	O08648	ENSMUSG00000014426	MAP3K4
Q9UPW0	ENSG00000198815	Q8BUR3	ENSMUSG00000032998	FOXJ3
Q9BZR8	ENSG00000281449	Q9CPT0	ENSMUSG00000030200	BCL2L14
Q9BZR8	ENSG00000121380	Q9CPT0	ENSMUSG00000030200	BCL2L14
Q8TDI8	ENSG00000165091	Q8R4P5	ENSMUSG00000024749	TMC1
Q8N4C7	ENSG00000178750	Q8R1Q0	ENSMUSG00000047854	STX19
Q15825	ENSG00000147434	Q9R0W9	ENSMUSG00000031491	CHRNA6
O15144	ENSG00000163466	Q9CVB6	ENSMUSG00000006304	ARPC2
P30511	ENSG00000234487	Q8HWB2	ENSMUSG00000035929	HLA-F
P30511	ENSG00000229698	Q8HWB2	ENSMUSG00000035929	HLA-F
P30511	ENSG00000237508	Q8HWB2	ENSMUSG00000035929	HLA-F
P30511	ENSG00000137403	Q8HWB2	ENSMUSG00000035929	HLA-F
P30511	ENSG00000235220	Q8HWB2	ENSMUSG00000035929	HLA-F
P30511	ENSG00000206509	Q8HWB2	ENSMUSG00000035929	HLA-F
P30511	ENSG00000204642	Q8HWB2	ENSMUSG00000035929	HLA-F
P02771	ENSG00000081051	P02772	ENSMUSG00000054932	AFP
Q8WXG6	ENSG00000110514	Q80U28	ENSMUSG00000040687	MADD
Q7Z5G4	ENSG00000147533	Q91W53	ENSMUSG00000015341	GOLGA7
P27338	ENSG00000069535	Q8BW75	ENSMUSG00000040147	MAOB
P41219	ENSG00000135406	P15331	ENSMUSG00000023484	PRPH
P36222	ENSG00000133048	Q61362	ENSMUSG00000064246	CHI3L1
Q96HC4	ENSG00000163110	Q8CI51	ENSMUSG00000028273	PDLIM5
Q96QH2	ENSG00000133246	Q6BCL1	ENSMUSG00000032739	PRAM1
Q3MIN7	ENSG00000205517	Q3UYI5	ENSMUSG00000040146	RGL3
P10276	ENSG00000131759	P11416	ENSMUSG00000037992	RARA
Q86UA1	ENSG00000185246	Q8K2Z2	ENSMUSG00000035597	PRPF39
P47881	ENSG00000180090	Q8VFX8	ENSMUSG00000070379	OR3A1
Q86TA1	ENSG00000120162	Q8VE04	ENSMUSG00000073910	MOB3B
Q86Y39	ENSG00000174886	Q9D8B4	ENSMUSG00000002379	NDUFA11
P27105	ENSG00000148175	P54116	ENSMUSG00000026880	STOM
Q5T6F2	ENSG00000137073	Q91VX2	ENSMUSG00000028433	UBAP2
A2ABS4	-	Q8K1T6	ENSMUSG00000013766	LY6G6E
Q9Y226	ENSG00000172940	Q6A4L0	ENSMUSG00000074028	SLC22A13
O00268	ENSG00000130699	E9QAP7	ENSMUSG00000039117	TAF4
O00268	ENSG00000280529	E9QAP7	ENSMUSG00000039117	TAF4
P78406	ENSG00000101146	Q8C570	ENSMUSG00000027509	RAE1
O75953	ENSG00000137094	O89114	ENSMUSG00000036052	DNAJB5
Q96L91	ENSG00000183495	Q8CHI8	ENSMUSG00000029505	EP400
Q8IZY2	ENSG00000064687	Q91V24	ENSMUSG00000035722	ABCA7
P23368	ENSG00000082212	Q99KE1	ENSMUSG00000024556	ME2
P02749	ENSG00000091583	Q01339	ENSMUSG00000000049	APOH
Q8N3Z6	ENSG00000147905	B1AX39	ENSMUSG00000035649	ZCCHC7
P51575	ENSG00000108405	P51576	ENSMUSG00000020787	P2RX1
Q9H1K1	ENSG00000136003	Q9D7P6	ENSMUSG00000025825	ISCU
Q9H171	ENSG00000124256	Q9QY24	ENSMUSG00000027514	ZBP1
O60662	ENSG00000239474	A2AUC9	ENSMUSG00000075307	KLHL41
Q9UPZ9	ENSG00000112144	Q9JKV2	ENSMUSG00000009828	ICK
P13647	ENSG00000186081	Q922U2	ENSMUSG00000061527	KRT5
Q6FI13	ENSG00000272196	Q6GSS7	ENSMUSG00000063954	HIST2H2AA4; HIST2H2AA3
Q6FI13	ENSG00000272196	Q6GSS7	ENSMUSG00000064220	HIST2H2AA4; HIST2H2AA3
Q6FI13	ENSG00000203812	Q6GSS7	ENSMUSG00000063954	HIST2H2AA4; HIST2H2AA3
Q6FI13	ENSG00000203812	Q6GSS7	ENSMUSG00000064220	HIST2H2AA4; HIST2H2AA3
P04279	ENSG00000124233	F2Z472	ENSMUSG00000017003	SEMG1
Q04917	ENSG00000128245	P68510	ENSMUSG00000018965	YWHAH
Q9NQS1	ENSG00000169857	Q9D9K3	ENSMUSG00000003604	AVEN
P09016	ENSG00000170166	P10628	ENSMUSG00000101174	HOXD4
Q9GZN0	ENSG00000181656	Q9EPB7	ENSMUSG00000068696	GPR88
Q9BTV4	ENSG00000170876	Q9DBS1	ENSMUSG00000030095	TMEM43
O43248	ENSG00000123388	P31313	ENSMUSG00000001656	HOXC11
P49918	ENSG00000129757	P49919	ENSMUSG00000037664	CDKN1C
P49918	ENSG00000273707	P49919	ENSMUSG00000037664	CDKN1C
Q96N11	ENSG00000146576	Q8BGA7	ENSMUSG00000039244	C7orf26
A1L0T0	ENSG00000105135	Q8BU33	ENSMUSG00000032763	ILVBL
Q9Y4L5	ENSG00000265491	Q9D0C1	ENSMUSG00000028098	RNF115
Q9H019	ENSG00000117640	Q9CWE0	ENSMUSG00000046671	MTFR1L
Q9H0F7	ENSG00000113966	O88848	ENSMUSG00000022722	ARL6
Q12770	ENSG00000114650	Q6GQT6	ENSMUSG00000032485	SCAP
Q3ZCQ2	ENSG00000177721	Q3T9V6	ENSMUSG00000095609	ANXA2R
Q3ZCQ2	ENSG00000177721	Q3T9V6	ENSMUSG00000095029	ANXA2R
Q8N264	ENSG00000138639	Q8C4V1	ENSMUSG00000057315	ARHGAP24
Q6PI73	ENSG00000275539	F8VQ94	ENSMUSG00000089942	LILRA6
Q6PI73	ENSG00000274148	F8VQ94	ENSMUSG00000089942	LILRA6
Q6PI73	ENSG00000275584	F8VQ94	ENSMUSG00000089942	LILRA6
Q6PI73	ENSG00000244482	F8VQ94	ENSMUSG00000089942	LILRA6
Q6PI73	ENSG00000277177	F8VQ94	ENSMUSG00000089942	LILRA6
Q14165	ENSG00000110917	Q6ZQI3	ENSMUSG00000048578	MLEC
Q9NRC8	ENSG00000187531	Q8BKJ9	ENSMUSG00000025138	SIRT7
O60336	ENSG00000137802	Q6NS57	ENSMUSG00000033902	MAPKBP1
O95741	ENSG00000100884	Q9Z140	ENSMUSG00000022212	CPNE6
Q9UJP4	ENSG00000162413	Q3U410	ENSMUSG00000073700	KLHL21
O75452	ENSG00000139547	E9Q9P8	-	RDH16
P42892	ENSG00000117298	Q4PZA2	ENSMUSG00000057530	ECE1
Q14953	ENSG00000274739	P83555	ENSMUSG00000031424	KIR2DS5
Q14953	ENSG00000276676	P83555	ENSMUSG00000031424	KIR2DS5
Q8NAV2	ENSG00000241852	Q66JV7	ENSMUSG00000044551	C8orf58
A8MYA2	ENSG00000215113	Q9D454	ENSMUSG00000071749	CXorf49; CXorf49B
A8MYA2	ENSG00000215115	Q9D454	ENSMUSG00000071749	CXorf49; CXorf49B
P49759	ENSG00000013441	P22518	ENSMUSG00000026034	CLK1
P48539	ENSG00000183036	P63054	ENSMUSG00000090223	PCP4
Q9NP90	ENSG00000123570	Q8BHH2	ENSMUSG00000043463	RAB9B
O95361	ENSG00000221926	Q99PP9	ENSMUSG00000047821	TRIM16
Q8NF86	ENSG00000103355	Q80WM7	ENSMUSG00000049620	PRSS33
P51684	ENSG00000112486	O54689	ENSMUSG00000040899	CCR6
P26196	ENSG00000110367	P54823	ENSMUSG00000032097	DDX6
O15062	ENSG00000168795	Q7TQG0	ENSMUSG00000049657	ZBTB5
P01567	ENSG00000214042	P07349	ENSMUSG00000096682	IFNA7
Q96SR6	ENSG00000161298	B2RXC5	ENSMUSG00000074220	ZNF382
Q5JRX3	ENSG00000107959	Q8K411	ENSMUSG00000021193	PITRM1
Q9NXF1	ENSG00000136891	Q3URQ0	ENSMUSG00000028345	TEX10
P30038	ENSG00000159423	Q8CHT0	ENSMUSG00000028737	ALDH4A1
O60313	ENSG00000198836	P58281	ENSMUSG00000038084	OPA1
Q0VDG4	ENSG00000144306	Q3TMH2	ENSMUSG00000008226	SCRN3
P01861	-	P01863	-	IGHG4
Q96N66	ENSG00000276935	Q8CHK3	ENSMUSG00000035596	MBOAT7
Q96N66	ENSG00000278519	Q8CHK3	ENSMUSG00000035596	MBOAT7
Q96N66	ENSG00000275118	Q8CHK3	ENSMUSG00000035596	MBOAT7
Q96N66	ENSG00000274194	Q8CHK3	ENSMUSG00000035596	MBOAT7
Q96N66	ENSG00000278322	Q8CHK3	ENSMUSG00000035596	MBOAT7
Q96N66	ENSG00000277733	Q8CHK3	ENSMUSG00000035596	MBOAT7
Q96N66	ENSG00000277025	Q8CHK3	ENSMUSG00000035596	MBOAT7
Q96N66	ENSG00000277923	Q8CHK3	ENSMUSG00000035596	MBOAT7
Q96N66	ENSG00000273592	Q8CHK3	ENSMUSG00000035596	MBOAT7
Q96N66	ENSG00000125505	Q8CHK3	ENSMUSG00000035596	MBOAT7
P56559	ENSG00000188042	P61208	ENSMUSG00000049866	ARL4C
Q9H6H4	ENSG00000168476	Q8K072	ENSMUSG00000033589	REEP4
Q96RY7	ENSG00000187535	E9PY46	ENSMUSG00000024169	IFT140
Q9NQE7	ENSG00000112812	Q9QXE5	ENSMUSG00000006179	PRSS16
Q9Y3C6	ENSG00000137168	Q9D0W5	ENSMUSG00000024007	PPIL1
P47914	ENSG00000162244	D3Z102	-	RPL29
Q8TCJ2	ENSG00000163527	Q3TDQ1	ENSMUSG00000032437	STT3B
O43182	ENSG00000047648	O54834	ENSMUSG00000031355	ARHGAP6
Q9HD36	ENSG00000137875	Q9Z0F3	ENSMUSG00000032191	BCL2L10
Q9HBL8	ENSG00000274684	Q8K2T1	ENSMUSG00000063445	NMRAL1
Q9HBL8	ENSG00000153406	Q8K2T1	ENSMUSG00000063445	NMRAL1
Q05519	ENSG00000116754	E9Q6E5	ENSMUSG00000055436	SRSF11
O15554	ENSG00000104783	O89109	ENSMUSG00000054342	KCNN4
O95294	ENSG00000111344	Q9Z268	ENSMUSG00000029602	RASAL1
Q99576	ENSG00000157514	Q9Z2S7	ENSMUSG00000031431	TSC22D3
Q9UBS5	ENSG00000206466	Q9WV18	ENSMUSG00000024462	GABBR1
Q9UBS5	ENSG00000237051	Q9WV18	ENSMUSG00000024462	GABBR1
Q9UBS5	ENSG00000232569	Q9WV18	ENSMUSG00000024462	GABBR1
Q9UBS5	ENSG00000237112	Q9WV18	ENSMUSG00000024462	GABBR1
Q9UBS5	ENSG00000232632	Q9WV18	ENSMUSG00000024462	GABBR1
Q9UBS5	ENSG00000206511	Q9WV18	ENSMUSG00000024462	GABBR1
Q9UBS5	ENSG00000204681	Q9WV18	ENSMUSG00000024462	GABBR1
Q16659	ENSG00000069956	Q61532	ENSMUSG00000042688	MAPK6
Q7Z5J8	ENSG00000151687	A2RT91	ENSMUSG00000039342	ANKAR
Q16553	ENSG00000160932	Q64253	ENSMUSG00000022587	LY6E
Q16553	ENSG00000278032	Q64253	ENSMUSG00000022587	LY6E
O75683	ENSG00000148296	P70279	ENSMUSG00000036160	SURF6
O75683	ENSG00000281309	P70279	ENSMUSG00000036160	SURF6
P35227	ENSG00000277258	P23798	ENSMUSG00000018537	PCGF2
P35227	ENSG00000278644	P23798	ENSMUSG00000018537	PCGF2
Q15181	ENSG00000180817	Q9D819	ENSMUSG00000020089	PPA1
A6NI03	ENSG00000189253	P86448	ENSMUSG00000079162	TRIM64B
Q14781	ENSG00000173894	P30658	ENSMUSG00000025577	CBX2
A5PL33	ENSG00000133619	Q6NXZ1	ENSMUSG00000042810	KRBA1
Q8WVX3	ENSG00000164096	Q99M08	ENSMUSG00000054091	C4orf3
Q63HN8	ENSG00000173821	E9Q555	ENSMUSG00000070327	RNF213
Q7Z3Y8	ENSG00000171446	Q9Z320	ENSMUSG00000017588	KRT27
Q06609	ENSG00000051180	Q08297	ENSMUSG00000027323	RAD51
Q8N6S4	ENSG00000118454	Q3UX43	ENSMUSG00000039988	ANKRD13C
Q68CZ2	ENSG00000136205	Q5SSZ5	ENSMUSG00000020422	TNS3
O75387	ENSG00000149150	Q8BSM7	ENSMUSG00000027075	SLC43A1
Q6KC79	ENSG00000164190	Q6KCD5	ENSMUSG00000022141	NIPBL
Q13609	ENSG00000163687	O55070	ENSMUSG00000025279	DNASE1L3
Q9UBB6	ENSG00000020129	Q9Z0E0	ENSMUSG00000028833	NCDN
O95371	ENSG00000168158	P23275	ENSMUSG00000059043	OR2C1
P20226	ENSG00000112592	P29037	ENSMUSG00000014767	TBP
O14683	ENSG00000175274	Q4QQM4	ENSMUSG00000068735	TP53I11
Q16518	ENSG00000116745	Q9JJS6	ENSMUSG00000031845	RPE65
Q9GZT5	ENSG00000135925	P70701	ENSMUSG00000026167	WNT10A
O14957	ENSG00000127540	Q9CPX8	ENSMUSG00000020163	UQCR11
Q13523	ENSG00000112739	Q61136	ENSMUSG00000021413	PRPF4B
Q0WX57	ENSG00000230430	G5E8G2	ENSMUSG00000057321	USP17L27; USP17L25; USP17L30; USP17L29; USP17L24; USP17L26; USP17L28
Q0WX57	ENSG00000231637	G5E8G2	ENSMUSG00000057321	USP17L27; USP17L25; USP17L30; USP17L29; USP17L24; USP17L26; USP17L28
Q0WX57	ENSG00000232264	G5E8G2	ENSMUSG00000057321	USP17L27; USP17L25; USP17L30; USP17L29; USP17L24; USP17L26; USP17L28
