Human Uniprot	Human Ensembl	Mouse Uniprot	Mouse Ensembl
Q9GZU2	ENSG00000198300	Q3URU2	ENSMUSG00000002265
Q5MCW4	ENSG00000196437	Q80W31	ENSMUSG00000059975
Q86WS3	ENSG00000149507	Q4FZG8	ENSMUSG00000055895
Q15390	ENSG00000066855	Q99MB2	ENSMUSG00000027601
O43280	ENSG00000118094	Q9JLT2	ENSMUSG00000032098
P0C7X2	ENSG00000229809	E9Q5M9	ENSMUSG00000045251
P49810	ENSG00000143801	Q61144	ENSMUSG00000010609
Q8NA82	ENSG00000173838	E9PX79	ENSMUSG00000078627
Q13477	ENSG00000099866	Q61826	ENSMUSG00000020310
Q8TAM2	ENSG00000165533	Q8VD72	ENSMUSG00000021013
Q8IWT6	ENSG00000136802	Q80WG5	ENSMUSG00000007476
Q92610	ENSG00000166716	Q8BHZ4	ENSMUSG00000005621
Q6ZTI6	ENSG00000178882	Q7TS73	ENSMUSG00000037962
Q7RTX9	ENSG00000163053	Q8K1C7	ENSMUSG00000026220
Q5HYL7	ENSG00000173452	D3YWQ9	ENSMUSG00000048004
Q8NH51	ENSG00000280314; ENSG00000262755	Q7TR63	ENSMUSG00000075174
P08758	ENSG00000164111	P48036	ENSMUSG00000027712
Q8IYI0	ENSG00000171984	Q9D112	ENSMUSG00000044991
Q8NB14	ENSG00000170185	Q8BW70	ENSMUSG00000038250
P01567	ENSG00000214042	P01572	ENSMUSG00000095498
Q8NDZ6	ENSG00000164180	Q8C2L6	ENSMUSG00000035762
Q9BQ24	ENSG00000100711	Q8VCM3	ENSMUSG00000021286
Q92558	ENSG00000112290	Q8R5H6	ENSMUSG00000019831
Q16651	ENSG00000052344	Q9ESD1	ENSMUSG00000030800
P39060	ENSG00000182871	P39061	ENSMUSG00000001435
P02042	ENSG00000223609	P02088	ENSMUSG00000052305; ENSMUSG00000073940
Q16667	ENSG00000100526	Q810P3	ENSMUSG00000037628
O43679	ENSG00000169744	O55203	ENSMUSG00000039706
Q8TF05	ENSG00000154845	Q8K2V1	ENSMUSG00000061950
Q8NBD8	ENSG00000198133	F2Z3Z2	-
Q92636	ENSG00000035681	O35242	ENSMUSG00000028245
Q6ICI0	ENSG00000206069	Q3UUA0	ENSMUSG00000066964
Q9BYE2	ENSG00000137747	Q5U405	ENSMUSG00000061184
Q96SK2	ENSG00000146842	Q8BRG8	ENSMUSG00000029782
Q96HU1	ENSG00000100359	Q8VCZ6	ENSMUSG00000042303
P29972	ENSG00000240583	Q02013	ENSMUSG00000004655
P48549	ENSG00000162989	P63250	ENSMUSG00000026824
Q99623	ENSG00000215021	O35129	ENSMUSG00000004264
P86790	ENSG00000122674; ENSG00000146574	Q8C1Y8	ENSMUSG00000029617
O95988	ENSG00000213231	P56845	ENSMUSG00000000701
P31271	ENSG00000106031	Q62424	ENSMUSG00000038203
P63104	ENSG00000164924	P63101	ENSMUSG00000022285
O75602	ENSG00000077327	Q9JLI7	ENSMUSG00000022783
P51170	ENSG00000166828	Q9WU39	ENSMUSG00000000216
O95600	ENSG00000102349	Q8BLM0	ENSMUSG00000041649
P22695	ENSG00000140740; ENSG00000284493	Q9DB77	ENSMUSG00000030884
Q56A73	ENSG00000186767	Q8K1L2	ENSMUSG00000071722
O75419	ENSG00000093009	Q9Z1X9	ENSMUSG00000000028
Q86W34	ENSG00000196704	Q400C8	ENSMUSG00000020610
Q68CQ4	ENSG00000117597	Q8BTT6	ENSMUSG00000016181
Q8NGR5	ENSG00000136939	Q8VFT2	ENSMUSG00000059429
P04156	ENSG00000171867	P04925	ENSMUSG00000079037
Q8N9T8	ENSG00000129347	Q8VDQ9	ENSMUSG00000035047
Q8NHH9	ENSG00000119787	Q6PA06	ENSMUSG00000059811
O14950	ENSG00000101608; ENSG00000118680	Q3THE2	ENSMUSG00000034868
Q9NPD5	ENSG00000111700	Q9JJL3	ENSMUSG00000030236
P62714	ENSG00000104695	P62715	ENSMUSG00000009630
Q9Y572	ENSG00000129465	Q9QZL0	ENSMUSG00000022221
Q08AH1	ENSG00000166743	Q91VA0	ENSMUSG00000033533
Q07960	ENSG00000175220	Q5FWK3	ENSMUSG00000027247
Q9P0J1	ENSG00000164951	Q3UV70	ENSMUSG00000049225
Q96HV5	ENSG00000163900	Q9D8U2	ENSMUSG00000022856
O60292	ENSG00000105738	G3X9J0	ENSMUSG00000030583
Q8WW12	ENSG00000081154	Q6P8I4	ENSMUSG00000071533
Q6UWH6	ENSG00000144043	Q62302	ENSMUSG00000014748
Q969R5	ENSG00000100395	P59178	ENSMUSG00000022394
P46926	ENSG00000113552	O88958	ENSMUSG00000052102
Q9NZM4	ENSG00000063169	F8VPZ9	ENSMUSG00000070808
Q13489	ENSG00000023445	O08863	ENSMUSG00000032000
P18507	ENSG00000113327	P22723	ENSMUSG00000020436
Q8TAB5	ENSG00000142686	Q8BP99	ENSMUSG00000073755
Q8N0W5	ENSG00000174628	D3YYL3	ENSMUSG00000073856
P55056	ENSG00000267467	Q61268	ENSMUSG00000074336
Q9H4M3	ENSG00000132879	Q8BK26	ENSMUSG00000029001
Q8WUP2	ENSG00000162458	Q71FD7	ENSMUSG00000006219
P60896	ENSG00000127922	P60897	ENSMUSG00000042541
A6NNY8	ENSG00000273820	Q8CEG8	ENSMUSG00000046269
P01566	ENSG00000186803	P07349	ENSMUSG00000096682
P19338	ENSG00000115053	P09405	ENSMUSG00000026234
Q99985	ENSG00000075223	Q62181	ENSMUSG00000028780
Q9BXY8	ENSG00000133134	Q9R224	ENSMUSG00000050071
O60925	ENSG00000113068	Q9CWM4	ENSMUSG00000024346
Q9UK28	ENSG00000105696	Q7TNI2	ENSMUSG00000035964
Q7RTT4	-	B1AUS7	-
Q8WW22	ENSG00000140403	Q9JMC3	ENSMUSG00000032285
Q9BW72	ENSG00000146066	Q9CQJ1	ENSMUSG00000025868
P01562	ENSG00000197919; ENSG00000233816	Q810G1	ENSMUSG00000078355
Q13572	ENSG00000274958; ENSG00000100605	Q8BYN3	ENSMUSG00000057963
Q04724	ENSG00000196781	Q62440	ENSMUSG00000008305
P17275	ENSG00000171223	P09450	ENSMUSG00000052837
P54132	ENSG00000197299	O88700	ENSMUSG00000030528
P32314	ENSG00000170802	E9Q7L6	ENSMUSG00000034998
O95171	ENSG00000136155	Q9EQG3	ENSMUSG00000022123
Q9H330	ENSG00000106771	B1AZA5	ENSMUSG00000055296
P40126	ENSG00000080166	P29812	ENSMUSG00000022129
A9QM74	ENSG00000185467; ENSG00000284068	C0LLJ0	ENSMUSG00000038770
Q8N8U2	ENSG00000166446	Q9D5D8	ENSMUSG00000031758
Q9NVC3	ENSG00000103042	Q8BWH0	ENSMUSG00000036534
Q16626	ENSG00000124733	Q64327	ENSMUSG00000002768
Q8IWW8	ENSG00000147576	Q8R0N6	ENSMUSG00000025911
Q8N465	ENSG00000180902	Q8CIM3	ENSMUSG00000073609
Q5VXI9	ENSG00000204020	Q3U4B4	ENSMUSG00000024770
Q8TDD1	ENSG00000123064	Q8K4L0	ENSMUSG00000029599
Q15468	ENSG00000123473	Q60988	ENSMUSG00000028718
Q8IYA7	ENSG00000150051	Q8BIA3	ENSMUSG00000061013
Q86V59	ENSG00000182013	Q80VM8	ENSMUSG00000041141
P43268	ENSG00000175832	P28322	ENSMUSG00000017724
P82663	ENSG00000131368	Q9D125	ENSMUSG00000014551
Q9UGF6	ENSG00000112461; ENSG00000243729; ENSG00000242289; ENSG00000227137; ENSG00000230742; ENSG00000240130; ENSG00000243441; ENSG00000233046	Q7TRK1	ENSMUSG00000090675
P55345	ENSG00000160310	Q9R144	ENSMUSG00000020230
A6NMZ2	ENSG00000188817	Q8C9X1	ENSMUSG00000044772
Q53GT1	ENSG00000099910	Q99JN2	ENSMUSG00000022750
Q04941	ENSG00000102007	Q9R1Q7	ENSMUSG00000031146
Q9Y6R4	ENSG00000085511	O08648	ENSMUSG00000014426
Q9UPW0	ENSG00000198815	Q8BUR3	ENSMUSG00000032998
Q9BZR8	ENSG00000281449; ENSG00000121380	Q9CPT0	ENSMUSG00000030200
Q8TDI8	ENSG00000165091	Q8R4P5	ENSMUSG00000024749
Q8N4C7	ENSG00000178750	Q8R1Q0	ENSMUSG00000047854
Q15825	ENSG00000147434	Q9R0W9	ENSMUSG00000031491
O15144	ENSG00000163466	Q9CVB6	ENSMUSG00000006304
P30511	ENSG00000234487; ENSG00000229698; ENSG00000237508; ENSG00000137403; ENSG00000235220; ENSG00000206509; ENSG00000204642	Q8HWB2	ENSMUSG00000035929
P02771	ENSG00000081051	P02772	ENSMUSG00000054932
Q8WXG6	ENSG00000110514	Q80U28	ENSMUSG00000040687
Q7Z5G4	ENSG00000147533	Q91W53	ENSMUSG00000015341
P27338	ENSG00000069535	Q8BW75	ENSMUSG00000040147
P41219	ENSG00000135406	P15331	ENSMUSG00000023484
P36222	ENSG00000133048	Q61362	ENSMUSG00000064246
Q96HC4	ENSG00000163110	Q8CI51	ENSMUSG00000028273
Q96QH2	ENSG00000133246	Q6BCL1	ENSMUSG00000032739
Q3MIN7	ENSG00000205517	Q3UYI5	ENSMUSG00000040146
P10276	ENSG00000131759	P11416	ENSMUSG00000037992
Q86UA1	ENSG00000185246	Q8K2Z2	ENSMUSG00000035597
P47881	ENSG00000180090	Q8VFX8	ENSMUSG00000070379
Q86TA1	ENSG00000120162	Q8VE04	ENSMUSG00000073910
Q86Y39	ENSG00000174886	Q9D8B4	ENSMUSG00000002379
P27105	ENSG00000148175	P54116	ENSMUSG00000026880
Q5T6F2	ENSG00000137073	Q91VX2	ENSMUSG00000028433
A2ABS4	-	Q8K1T6	ENSMUSG00000013766
Q9Y226	ENSG00000172940	Q6A4L0	ENSMUSG00000074028
O00268	ENSG00000130699; ENSG00000280529	E9QAP7	ENSMUSG00000039117
P78406	ENSG00000101146	Q8C570	ENSMUSG00000027509
O75953	ENSG00000137094	O89114	ENSMUSG00000036052
Q96L91	ENSG00000183495	Q8CHI8	ENSMUSG00000029505
Q8IZY2	ENSG00000064687	Q91V24	ENSMUSG00000035722
P23368	ENSG00000082212	Q99KE1	ENSMUSG00000024556
P02749	ENSG00000091583	Q01339	ENSMUSG00000000049
Q8N3Z6	ENSG00000147905	B1AX39	ENSMUSG00000035649
P51575	ENSG00000108405	P51576	ENSMUSG00000020787
Q9H1K1	ENSG00000136003	Q9D7P6	ENSMUSG00000025825
Q9H171	ENSG00000124256	Q9QY24	ENSMUSG00000027514
O60662	ENSG00000239474	A2AUC9	ENSMUSG00000075307
Q9UPZ9	ENSG00000112144	Q9JKV2	ENSMUSG00000009828
P13647	ENSG00000186081	Q922U2	ENSMUSG00000061527
Q6FI13	ENSG00000272196; ENSG00000203812	Q6GSS7	ENSMUSG00000063954; ENSMUSG00000064220
P04279	ENSG00000124233	F2Z472	ENSMUSG00000017003
Q04917	ENSG00000128245	P68510	ENSMUSG00000018965
Q9NQS1	ENSG00000169857	Q9D9K3	ENSMUSG00000003604
P09016	ENSG00000170166	P10628	ENSMUSG00000101174
Q9GZN0	ENSG00000181656	Q9EPB7	ENSMUSG00000068696
Q9BTV4	ENSG00000170876	Q9DBS1	ENSMUSG00000030095
O43248	ENSG00000123388	P31313	ENSMUSG00000001656
P49918	ENSG00000129757; ENSG00000273707	P49919	ENSMUSG00000037664
Q96N11	ENSG00000146576	Q8BGA7	ENSMUSG00000039244
A1L0T0	ENSG00000105135	Q8BU33	ENSMUSG00000032763
Q9Y4L5	ENSG00000265491	Q9D0C1	ENSMUSG00000028098
Q9H019	ENSG00000117640	Q9CWE0	ENSMUSG00000046671
Q9H0F7	ENSG00000113966	O88848	ENSMUSG00000022722
Q12770	ENSG00000114650	Q6GQT6	ENSMUSG00000032485
Q3ZCQ2	ENSG00000177721	Q3T9V6	ENSMUSG00000095609; ENSMUSG00000095029
Q8N264	ENSG00000138639	Q8C4V1	ENSMUSG00000057315
Q6PI73	ENSG00000275539; ENSG00000274148; ENSG00000275584; ENSG00000244482; ENSG00000277177	F8VQ94	ENSMUSG00000089942
Q14165	ENSG00000110917	Q6ZQI3	ENSMUSG00000048578
Q9NRC8	ENSG00000187531	Q8BKJ9	ENSMUSG00000025138
O60336	ENSG00000137802	Q6NS57	ENSMUSG00000033902
O95741	ENSG00000100884	Q9Z140	ENSMUSG00000022212
Q9UJP4	ENSG00000162413	Q3U410	ENSMUSG00000073700
O75452	ENSG00000139547	E9Q9P8	-
P42892	ENSG00000117298	Q4PZA2	ENSMUSG00000057530
Q14953	ENSG00000274739; ENSG00000276676	P83555	ENSMUSG00000031424
Q8NAV2	ENSG00000241852	Q66JV7	ENSMUSG00000044551
A8MYA2	ENSG00000215113; ENSG00000215115	Q9D454	ENSMUSG00000071749
P49759	ENSG00000013441	P22518	ENSMUSG00000026034
P48539	ENSG00000183036	P63054	ENSMUSG00000090223
Q9NP90	ENSG00000123570	Q8BHH2	ENSMUSG00000043463
O95361	ENSG00000221926	Q99PP9	ENSMUSG00000047821
Q8NF86	ENSG00000103355	Q80WM7	ENSMUSG00000049620
P51684	ENSG00000112486	O54689	ENSMUSG00000040899
P26196	ENSG00000110367	P54823	ENSMUSG00000032097
O15062	ENSG00000168795	Q7TQG0	ENSMUSG00000049657
P01567	ENSG00000214042	P07349	ENSMUSG00000096682
Q96SR6	ENSG00000161298	B2RXC5	ENSMUSG00000074220
Q5JRX3	ENSG00000107959	Q8K411	ENSMUSG00000021193
Q9NXF1	ENSG00000136891	Q3URQ0	ENSMUSG00000028345
P30038	ENSG00000159423	Q8CHT0	ENSMUSG00000028737
O60313	ENSG00000198836	P58281	ENSMUSG00000038084
Q0VDG4	ENSG00000144306	Q3TMH2	ENSMUSG00000008226
P01861	-	P01863	-
Q96N66	ENSG00000276935; ENSG00000278519; ENSG00000275118; ENSG00000274194; ENSG00000278322; ENSG00000277733; ENSG00000277025; ENSG00000277923; ENSG00000273592; ENSG00000125505	Q8CHK3	ENSMUSG00000035596
P56559	ENSG00000188042	P61208	ENSMUSG00000049866
Q9H6H4	ENSG00000168476	Q8K072	ENSMUSG00000033589
Q96RY7	ENSG00000187535	E9PY46	ENSMUSG00000024169
Q9NQE7	ENSG00000112812	Q9QXE5	ENSMUSG00000006179
Q9Y3C6	ENSG00000137168	Q9D0W5	ENSMUSG00000024007
P47914	ENSG00000162244	D3Z102	-
Q8TCJ2	ENSG00000163527	Q3TDQ1	ENSMUSG00000032437
O43182	ENSG00000047648	O54834	ENSMUSG00000031355
Q9HD36	ENSG00000137875	Q9Z0F3	ENSMUSG00000032191
Q9HBL8	ENSG00000274684; ENSG00000153406	Q8K2T1	ENSMUSG00000063445
Q05519	ENSG00000116754	E9Q6E5	ENSMUSG00000055436
O15554	ENSG00000104783	O89109	ENSMUSG00000054342
O95294	ENSG00000111344	Q9Z268	ENSMUSG00000029602
Q99576	ENSG00000157514	Q9Z2S7	ENSMUSG00000031431
Q9UBS5	ENSG00000206466; ENSG00000237051; ENSG00000232569; ENSG00000237112; ENSG00000232632; ENSG00000206511; ENSG00000204681	Q9WV18	ENSMUSG00000024462
Q16659	ENSG00000069956	Q61532	ENSMUSG00000042688
Q7Z5J8	ENSG00000151687	A2RT91	ENSMUSG00000039342
Q16553	ENSG00000160932; ENSG00000278032	Q64253	ENSMUSG00000022587
O75683	ENSG00000148296; ENSG00000281309	P70279	ENSMUSG00000036160
P35227	ENSG00000277258; ENSG00000278644	P23798	ENSMUSG00000018537
Q15181	ENSG00000180817	Q9D819	ENSMUSG00000020089
A6NI03	ENSG00000189253	P86448	ENSMUSG00000079162
Q14781	ENSG00000173894	P30658	ENSMUSG00000025577
A5PL33	ENSG00000133619	Q6NXZ1	ENSMUSG00000042810
Q8WVX3	ENSG00000164096	Q99M08	ENSMUSG00000054091
Q63HN8	ENSG00000173821	E9Q555	ENSMUSG00000070327
Q7Z3Y8	ENSG00000171446	Q9Z320	ENSMUSG00000017588
Q06609	ENSG00000051180	Q08297	ENSMUSG00000027323
Q8N6S4	ENSG00000118454	Q3UX43	ENSMUSG00000039988
Q68CZ2	ENSG00000136205	Q5SSZ5	ENSMUSG00000020422
O75387	ENSG00000149150	Q8BSM7	ENSMUSG00000027075
Q6KC79	ENSG00000164190	Q6KCD5	ENSMUSG00000022141
Q13609	ENSG00000163687	O55070	ENSMUSG00000025279
Q9UBB6	ENSG00000020129	Q9Z0E0	ENSMUSG00000028833
O95371	ENSG00000168158	P23275	ENSMUSG00000059043
P20226	ENSG00000112592	P29037	ENSMUSG00000014767
O14683	ENSG00000175274	Q4QQM4	ENSMUSG00000068735
Q16518	ENSG00000116745	Q9JJS6	ENSMUSG00000031845
Q9GZT5	ENSG00000135925	P70701	ENSMUSG00000026167
O14957	ENSG00000127540	Q9CPX8	ENSMUSG00000020163
Q13523	ENSG00000112739	Q61136	ENSMUSG00000021413
Q0WX57	ENSG00000230430; ENSG00000231637; ENSG00000232264; ENSG00000229579; ENSG00000235780; ENSG00000231051; ENSG00000228856	G5E8G2	ENSMUSG00000057321
Q96MU8	ENSG00000183762	Q99N43	ENSMUSG00000020393
Q14952	ENSG00000278306; ENSG00000277193; ENSG00000277657; ENSG00000277163	Q673W2	ENSMUSG00000057439
Q01484	ENSG00000145362	Q8C8R3	ENSMUSG00000032826
Q53HL2	ENSG00000134690	Q8BHX3	ENSMUSG00000028873
P0CJ90	-	Q7TNE6	ENSMUSG00000072672; ENSMUSG00000072675; ENSMUSG00000048502
P09493	ENSG00000140416	P58771	ENSMUSG00000032366
Q8NGT9	ENSG00000212807; ENSG00000221970	Q8VF17	ENSMUSG00000059411
Q9UBM8	ENSG00000283530; ENSG00000182050	Q9D306	ENSMUSG00000019888
P31751	ENSG00000105221	Q60823	ENSMUSG00000004056
H3BQJ8	ENSG00000261667; ENSG00000282693	H3BJG9	ENSMUSG00000093626
P09603	ENSG00000184371	P07141	ENSMUSG00000014599
Q8TEW0	ENSG00000148498	Q99NH2	ENSMUSG00000025812
Q0D2K3	ENSG00000147223	Q2WG77	ENSMUSG00000072945
Q96KX2	ENSG00000177938	P70190	ENSMUSG00000041791
P22460	ENSG00000130037	Q61762	ENSMUSG00000045534
Q4KMZ1	ENSG00000160051	A2ADZ8	ENSMUSG00000040795
Q96TA1	ENSG00000136830	Q8R1F1	ENSMUSG00000026796
Q6ZNC8	ENSG00000172197	Q8BH98	ENSMUSG00000038732
Q08289	ENSG00000165995	Q8CC27	ENSMUSG00000057914
Q9UHF0	ENSG00000166863	P55099	ENSMUSG00000025400
P05814	ENSG00000283030; ENSG00000135222	P10598	ENSMUSG00000063157
Q9BRP0	ENSG00000125850	Q8CIV7	ENSMUSG00000037279
P63272	ENSG00000213246	P63271	ENSMUSG00000020485
P61513	ENSG00000197756	P61514	ENSMUSG00000046330
P68402	ENSG00000168092	Q61206	ENSMUSG00000003131
O75323	ENSG00000146729	O55126	ENSMUSG00000029432
P19013	ENSG00000170477	P07744	ENSMUSG00000059668
Q6TFL4	ENSG00000114796	Q8BRG6	ENSMUSG00000062901
O00482	ENSG00000116833	P45448	ENSMUSG00000026398
Q9BUK6	ENSG00000125459	Q2YDW2	ENSMUSG00000068922
Q8TDU5	-	Q9EPB8	ENSMUSG00000047203
Q9ULT6	ENSG00000183579	Q5SSZ7	ENSMUSG00000041961
Q8NBQ7	ENSG00000178301	Q8BHH1	ENSMUSG00000042797
Q8NEL0	ENSG00000138483	Q9DAL3	ENSMUSG00000050685
Q969S6	ENSG00000187713	Q8R235	ENSMUSG00000078201
P43121	ENSG00000076706	Q8R2Y2	ENSMUSG00000032135
Q14CM0	ENSG00000169933	A2AFR3	ENSMUSG00000049176
Q9BZJ4	ENSG00000013306	Q9D8K8	ENSMUSG00000018677
P31947	ENSG00000175793	O70456	ENSMUSG00000047281
P80297	ENSG00000187193	P02802	ENSMUSG00000031765
Q9BTX7	ENSG00000124120	Q9D3D0	ENSMUSG00000017679
Q8NBL1	ENSG00000163389	Q8BYB9	ENSMUSG00000034064
P32246	ENSG00000163823	P51675	ENSMUSG00000025804
Q99598	ENSG00000116918	Q9QZE7	ENSMUSG00000056820
Q6NUP7	ENSG00000278326; ENSG00000119698	Q8C0Y0	ENSMUSG00000021209
Q9HA92	ENSG00000136444	Q5SUV1	ENSMUSG00000039096
O75643	ENSG00000144028	Q6P4T2	ENSMUSG00000003660
Q14849	ENSG00000131748	Q61542	ENSMUSG00000018167
P00797	ENSG00000143839	P06281	ENSMUSG00000070645
Q14093	ENSG00000155833	E9Q6B1	ENSMUSG00000039555
A8MXK1	ENSG00000214376	Q9D806	ENSMUSG00000031937
Q2MV58	ENSG00000204852	Q8BZ64	ENSMUSG00000038593
Q9NRK6	ENSG00000135776	Q9JI39	ENSMUSG00000031974
Q9NP70	ENSG00000178522	O55189	ENSMUSG00000029288
Q6MZT1	ENSG00000186479	Q8BQP9	ENSMUSG00000021719
Q8NH92	ENSG00000280204	B9EHG2	ENSMUSG00000048356
Q9ULW5	ENSG00000167964	Q504M8	ENSMUSG00000079657
Q7Z7G0	ENSG00000154175	Q59IW6	ENSMUSG00000035258
Q8NCU7	ENSG00000198535	E9Q861	ENSMUSG00000047990
Q9UH03	ENSG00000100167	Q9Z1S5	ENSMUSG00000022456
Q9H479	ENSG00000167363	Q9ER35	ENSMUSG00000025175
I1YAP6	ENSG00000214414	P86449	ENSMUSG00000067399
Q9Y3Y2	ENSG00000160679	Q9CY57	ENSMUSG00000001017
Q08554	ENSG00000134765	P55849	ENSMUSG00000044322
P52789	ENSG00000159399	O08528	ENSMUSG00000000628
P79483	ENSG00000231679; ENSG00000196101; ENSG00000230463	P04230	ENSMUSG00000060586
Q6V702	ENSG00000197826	Q810M1	ENSMUSG00000057816
P57103	ENSG00000100678	E9PX50	ENSMUSG00000079055
Q96MB7	ENSG00000180423	Q8BR93	ENSMUSG00000027243
Q9H773	ENSG00000179958	Q9QY93	ENSMUSG00000042462
Q96JJ7	ENSG00000166479	Q8BXZ1	ENSMUSG00000024614
Q9BRC7	ENSG00000115556	Q8K3R3	ENSMUSG00000026173
Q9NPR2	ENSG00000185033	Q62179	ENSMUSG00000030539
Q8N5N4	ENSG00000180697	Q8C5S3	ENSMUSG00000049694
Q16795	ENSG00000139180	Q9DC69	ENSMUSG00000000399
P55042	ENSG00000166592	O88667	ENSMUSG00000031880
Q9P0W0	ENSG00000147896	Q7TSL0	ENSMUSG00000042993
Q6P9F0	ENSG00000130783	E9PVD1	ENSMUSG00000061882
Q6UWE0	ENSG00000148356	Q80ZI6	ENSMUSG00000026792
Q9H078	ENSG00000162129	Q60649	ENSMUSG00000001829
Q9Y6N8	ENSG00000040731	P70408	ENSMUSG00000022321
Q8N4T0	ENSG00000165078	Q5U901	ENSMUSG00000042501
F8WDT6	-	F6ZHM5	-
O15049	ENSG00000145911	Q8C7U1	ENSMUSG00000001053
Q9BQM9	ENSG00000149609	A2AKE5	ENSMUSG00000038523
Q8WZA2	ENSG00000091428	Q9EQZ6	ENSMUSG00000049044
Q8NB49	ENSG00000101974	Q9QZW0	ENSMUSG00000108408; ENSMUSG00000062949
Q7Z6M2	ENSG00000165355	Q8VE08	ENSMUSG00000035329
Q9H1P3	ENSG00000130703	Q8BX94	ENSMUSG00000039050
Q92499	ENSG00000079785	Q91VR5	ENSMUSG00000037149
Q9H0F6	ENSG00000179526	Q91WA6	ENSMUSG00000022552
A0AVF1	ENSG00000105948	Q8BS45	ENSMUSG00000056832
Q9NS62	ENSG00000136114	Q9JM61	ENSMUSG00000031480
Q9BXJ5	ENSG00000145861	Q9D8U4	ENSMUSG00000046491
Q8NGY9	ENSG00000279263	Q8VGJ5	ENSMUSG00000045341
Q6Y2X3	ENSG00000135392	Q921R4	ENSMUSG00000025354
Q15293	ENSG00000049449	Q05186	ENSMUSG00000005973
P30279	ENSG00000118971	P30280	ENSMUSG00000000184
P56748	ENSG00000156284	Q9Z260	ENSMUSG00000050520
P78396	ENSG00000133101	Q61456	ENSMUSG00000027793
Q8NG50	ENSG00000276432; ENSG00000278023	Q9CQK3	ENSMUSG00000010362
Q14689	ENSG00000160305	Q8BWT5	ENSMUSG00000020231
Q53H76	ENSG00000144837	Q8VI78	ENSMUSG00000002847
A8MUX0	ENSG00000263186; ENSG00000212657	A2A5X5	ENSMUSG00000078253
Q04206	ENSG00000173039	Q04207	ENSMUSG00000024927
O95977	ENSG00000125910	Q9Z0L1	ENSMUSG00000044199
Q05516	ENSG00000109906	Q3UQ17	ENSMUSG00000066687
Q96RT8	ENSG00000275835; ENSG00000276856; ENSG00000280807	Q8BKN5	ENSMUSG00000033790
