target_id	gene_name	qval	log2fc	final_annotation	direction	final_annotation.y	Mouse Ensembl	Human Ensembl
ENSMUSG00000001517	Foxm1	0.000230069	-1.0876929709999998	protein_coding	Downregulated	protein_coding	ENSMUSG00000001517	ENSG00000111206
ENSMUSG00000001566	Mnx1	1.53e-07	-1.464092674	protein_coding	Downregulated	protein_coding	ENSMUSG00000001566	ENSG00000130675
ENSMUSG00000001604	Tcea3	1.4e-18	-2.755118735	protein_coding	Downregulated	protein_coding	ENSMUSG00000001604	ENSG00000282941; ENSG00000204219
ENSMUSG00000001663	Gstt1	3.5399999999999998e-09	-2.004884799	protein_coding	Downregulated	protein_coding	ENSMUSG00000001663	ENSG00000277656
ENSMUSG00000001665	Gstt3	5.03e-08	-1.0933531570000001	protein_coding	Downregulated	protein_coding		
ENSMUSG00000001739	Cldn15	1.58e-05	-1.315207153	protein_coding	Downregulated	protein_coding	ENSMUSG00000001739	ENSG00000106404
ENSMUSG00000001761	Smo	0.025094055	-1.12263049	protein_coding	Downregulated	protein_coding	ENSMUSG00000001761	ENSG00000128602
ENSMUSG00000001802	Lrp3	2.7399999999999996e-09	4.143024455	protein_coding	Upregulated	protein_coding	ENSMUSG00000001802	ENSG00000130881
ENSMUSG00000001819	Hoxd13	1.48e-08	6.142596847	protein_coding	Upregulated	protein_coding	ENSMUSG00000001819	ENSG00000128714
ENSMUSG00000001864	Aif1l	0.026061479	-1.835938841	protein_coding	Downregulated	protein_coding	ENSMUSG00000001864	ENSG00000126878
ENSMUSG00000001901	Kcnh6	3.16e-24	4.54378872	protein_coding	Upregulated	protein_coding	ENSMUSG00000001901	ENSG00000173826
ENSMUSG00000001946	Esam	6.75e-06	1.696991815	protein_coding	Upregulated	protein_coding	ENSMUSG00000001946	ENSG00000149564
ENSMUSG00000002006	Pdzd4	1.56e-08	2.5531089319999998	protein_coding	Upregulated	protein_coding	ENSMUSG00000002006	ENSG00000067840
ENSMUSG00000002010	Idh3g	1.55e-09	-1.1365575959999998	protein_coding	Downregulated	protein_coding	ENSMUSG00000002010	ENSG00000067829
ENSMUSG00000002043	Trappc6a	0.013085673999999999	-1.036451669	protein_coding	Downregulated	protein_coding	ENSMUSG00000002043	ENSG00000007255
ENSMUSG00000002105	Slc39a13	5.920000000000001e-05	1.194074122	protein_coding	Upregulated	protein_coding	ENSMUSG00000002105	ENSG00000165915
ENSMUSG00000002107	Celf2	0.001509355	1.623418892	protein_coding	Upregulated	protein_coding	ENSMUSG00000002107	ENSG00000048740
ENSMUSG00000002108	Nr1h3	9.79e-06	-1.305715009	protein_coding	Downregulated	protein_coding	ENSMUSG00000002108	ENSG00000025434
ENSMUSG00000002265	Peg3	9.29e-49	4.84227786	protein_coding	Upregulated	protein_coding	ENSMUSG00000002265	ENSG00000198300
ENSMUSG00000002266	Zim1	0.002007083	3.31759245	protein_coding	Upregulated	protein_coding		
ENSMUSG00000002341	Ncan	0.002023558	2.7495442789999998	protein_coding	Upregulated	protein_coding	ENSMUSG00000002341	ENSG00000130287
ENSMUSG00000002365	Snx9	7.52e-08	-1.123223461	protein_coding	Downregulated	protein_coding	ENSMUSG00000002365	ENSG00000130340
ENSMUSG00000002384	Bmp8b	0.0034532129999999997	1.5144373930000001	protein_coding	Upregulated	protein_coding		
ENSMUSG00000002475	Abhd3	0.002665983	-1.028709812	protein_coding	Downregulated	protein_coding	ENSMUSG00000002475	ENSG00000158201
ENSMUSG00000002504	Slc9a3r2	0.00027519599999999996	1.033927493	protein_coding	Upregulated	protein_coding	ENSMUSG00000002504	ENSG00000065054
ENSMUSG00000002565	Scin	1.2900000000000002e-11	-3.05840337	protein_coding	Downregulated	protein_coding	ENSMUSG00000002565	ENSG00000006747
ENSMUSG00000002578	Ikzf4	0.000887022	2.517464135	protein_coding	Upregulated	protein_coding	ENSMUSG00000002578	ENSG00000123411
ENSMUSG00000002625	Akap8l	3.23e-06	1.042902374	protein_coding	Upregulated	protein_coding	ENSMUSG00000002625	ENSG00000011243
ENSMUSG00000002633	Shh	9.45e-21	7.038157372000001	protein_coding	Upregulated	protein_coding	ENSMUSG00000002633	ENSG00000164690
ENSMUSG00000002668	Dennd1c	0.004848537	2.9619995130000003	protein_coding	Upregulated	protein_coding	ENSMUSG00000002668	ENSG00000205744
ENSMUSG00000002769	Gnmt	3.02e-08	2.785787139	protein_coding	Upregulated	protein_coding	ENSMUSG00000002769	ENSG00000124713
ENSMUSG00000002781	Tmem143	3.52e-06	-1.4765961269999999	protein_coding	Downregulated	protein_coding	ENSMUSG00000002781	ENSG00000161558
ENSMUSG00000002799	Jag2	9.179999999999999e-07	-1.3034033790000001	protein_coding	Downregulated	protein_coding	ENSMUSG00000002799	ENSG00000184916
ENSMUSG00000002847	Pla1a	8.22e-10	4.061373259	protein_coding	Upregulated	protein_coding	ENSMUSG00000002847	ENSG00000144837
ENSMUSG00000002885	Adgre5	4.93e-14	1.4897718480000002	protein_coding	Upregulated	protein_coding	ENSMUSG00000002885	ENSG00000127507
ENSMUSG00000002885	Adgre5	4.93e-14	1.4897718480000002	protein_coding	Upregulated	protein_coding	ENSMUSG00000002885	ENSG00000123146
ENSMUSG00000002980	Bcam	2.89e-06	1.882156016	protein_coding	Upregulated	protein_coding	ENSMUSG00000002980	ENSG00000187244
ENSMUSG00000002997	Prkar2b	1.51e-14	3.6211789060000004	protein_coding	Upregulated	protein_coding	ENSMUSG00000002997	ENSG00000005249; ENSG00000284096
ENSMUSG00000003123	Lipe	0.00014205	-1.88500658	protein_coding	Downregulated	protein_coding	ENSMUSG00000003123	ENSG00000079435
ENSMUSG00000003134	Tbc1d8	9.53e-14	1.488313032	protein_coding	Upregulated	protein_coding	ENSMUSG00000003134	ENSG00000204634
ENSMUSG00000003199	Mpnd	4.37e-08	-1.101795068	protein_coding	Downregulated	protein_coding	ENSMUSG00000003199	ENSG00000008382
ENSMUSG00000003273	Car11	0.00024487099999999997	2.39488234	protein_coding	Upregulated	protein_coding	ENSMUSG00000003273	ENSG00000063180
ENSMUSG00000003352	Cacnb3	1.3400000000000001e-08	1.321477944	protein_coding	Upregulated	protein_coding	ENSMUSG00000003352	ENSG00000167535
ENSMUSG00000003355	Fkbp11	0.00010558	1.242584044	protein_coding	Upregulated	protein_coding	ENSMUSG00000003355	ENSG00000134285
ENSMUSG00000003363	Pld3	1.6800000000000002e-19	1.826882501	protein_coding	Upregulated	protein_coding	ENSMUSG00000003363	ENSG00000105223
ENSMUSG00000003380	Rabac1	0.001512157	1.186536124	protein_coding	Upregulated	protein_coding	ENSMUSG00000003380	ENSG00000105404
ENSMUSG00000003418	St8sia6	0.001378592	3.33047895	protein_coding	Upregulated	protein_coding	ENSMUSG00000003418	ENSG00000148488
ENSMUSG00000003420	Fcgrt	4.49e-07	-2.7347413260000004	protein_coding	Downregulated	protein_coding	ENSMUSG00000003420	ENSG00000104870
ENSMUSG00000003436	Dll3	0.011352457	2.339669864	protein_coding	Upregulated	protein_coding	ENSMUSG00000003436	ENSG00000090932
ENSMUSG00000003452	Bicd1	0.006297115	2.151988629	protein_coding	Upregulated	protein_coding	ENSMUSG00000003452	ENSG00000151746
ENSMUSG00000003469	Phyhip	0.047334688	1.5837014459999998	protein_coding	Upregulated	protein_coding	ENSMUSG00000003469	ENSG00000168490
ENSMUSG00000003518	Dusp3	3.09e-07	1.058646092	protein_coding	Upregulated	protein_coding	ENSMUSG00000003518	ENSG00000108861
ENSMUSG00000003528	Slc25a1	2.46e-05	-1.266344919	protein_coding	Downregulated	protein_coding	ENSMUSG00000003528	ENSG00000100075
ENSMUSG00000003541	Ier3	1.6300000000000002e-09	1.251519831	protein_coding	Upregulated	protein_coding	ENSMUSG00000003541	ENSG00000206478; ENSG00000137331; ENSG00000237155; ENSG00000235030; ENSG00000230128; ENSG00000227231
ENSMUSG00000003545	Fosb	0.015691121000000002	1.621169055	protein_coding	Upregulated	protein_coding	ENSMUSG00000003545	ENSG00000125740
ENSMUSG00000003573	Homer3	0.000118723	1.1642780590000001	protein_coding	Upregulated	protein_coding	ENSMUSG00000003573	ENSG00000051128
ENSMUSG00000003865	Gys1	1.3e-08	-1.694825451	protein_coding	Downregulated	protein_coding	ENSMUSG00000003865	ENSG00000104812
ENSMUSG00000003949	Hlf	0.003049318	-2.572943479	protein_coding	Downregulated	protein_coding	ENSMUSG00000003949	ENSG00000108924
ENSMUSG00000003955	Fam162a	1.27e-05	-2.3697354919999998	protein_coding	Downregulated	protein_coding	ENSMUSG00000003955	ENSG00000114023
ENSMUSG00000004038	Gstm3	0.006134506	-2.229043838	protein_coding	Downregulated	protein_coding		
ENSMUSG00000004044	Ptrf	6.330000000000001e-05	1.407828025	protein_coding	Upregulated	protein_coding	ENSMUSG00000004044	ENSG00000177469
ENSMUSG00000004113	Cacna1b	3.21e-06	3.640777645	protein_coding	Upregulated	protein_coding	ENSMUSG00000004113	ENSG00000148408
ENSMUSG00000004151	Etv1	2.05e-35	4.486581667	protein_coding	Upregulated	protein_coding	ENSMUSG00000004151	ENSG00000006468
ENSMUSG00000004270	Lpcat3	1.8300000000000002e-08	-1.3321534959999999	protein_coding	Downregulated	protein_coding	ENSMUSG00000004270	ENSG00000111684
ENSMUSG00000004328	Hif3a	9.109999999999999e-05	-3.65612698	protein_coding	Downregulated	protein_coding	ENSMUSG00000004328	ENSG00000124440
ENSMUSG00000004347	Pde1c	1.3e-10	3.133089085	protein_coding	Upregulated	protein_coding		
ENSMUSG00000004415	Col26a1	0.014179546999999999	-2.105296709	protein_coding	Downregulated	protein_coding	ENSMUSG00000004415	ENSG00000160963
ENSMUSG00000004540	Psg17	0.0011601810000000001	-2.860550077	protein_coding	Downregulated	protein_coding		
ENSMUSG00000004558	Ndrg2	1.94e-06	-2.336507613	protein_coding	Downregulated	protein_coding	ENSMUSG00000004558	ENSG00000165795
ENSMUSG00000004654	Ghrhr	0.003577802	-2.277925281	protein_coding	Downregulated	protein_coding	ENSMUSG00000004654	ENSG00000106128
ENSMUSG00000004709	Cd244	7.28e-24	3.228409552	protein_coding	Upregulated	protein_coding	ENSMUSG00000004709	ENSG00000122223
ENSMUSG00000004768	Rab23	0.00015473899999999998	1.2447911790000001	protein_coding	Upregulated	protein_coding	ENSMUSG00000004768	ENSG00000112210
ENSMUSG00000004789	Dlst	1.82e-05	-1.022048581	protein_coding	Downregulated	protein_coding	ENSMUSG00000004789	ENSG00000119689
ENSMUSG00000004864	Mapk13	0.000187138	-1.133329424	protein_coding	Downregulated	protein_coding	ENSMUSG00000004864	ENSG00000156711
ENSMUSG00000004880	Lbr	2.08e-06	-1.068760189	protein_coding	Downregulated	protein_coding	ENSMUSG00000004880	ENSG00000143815
ENSMUSG00000004951	Hspb1	6.07e-06	3.4690406080000002	protein_coding	Upregulated	protein_coding	ENSMUSG00000004951	ENSG00000106211
ENSMUSG00000004961	Syt5	4.54e-11	4.3611864360000006	protein_coding	Upregulated	protein_coding	ENSMUSG00000004961	ENSG00000129990
ENSMUSG00000005107	Slc2a9	6e-07	-1.237282825	protein_coding	Downregulated	protein_coding	ENSMUSG00000005107	ENSG00000109667
ENSMUSG00000005125	Ndrg1	2.47e-06	-2.056213309	protein_coding	Downregulated	protein_coding	ENSMUSG00000005125	ENSG00000104419
ENSMUSG00000005237	Dnah2	6.440000000000001e-13	-3.7761932910000002	protein_coding	Downregulated	protein_coding	ENSMUSG00000005237	ENSG00000183914
ENSMUSG00000005267	Zfp287	3.81e-05	2.115485412	protein_coding	Upregulated	protein_coding	ENSMUSG00000005267	ENSG00000141040
ENSMUSG00000005268	Prlr	1.6299999999999999e-29	-3.2878258860000003	protein_coding	Downregulated	protein_coding	ENSMUSG00000005268	ENSG00000113494
ENSMUSG00000005320	Fgfr4	0.026160025	1.339316145	protein_coding	Upregulated	protein_coding	ENSMUSG00000005320	ENSG00000160867
ENSMUSG00000005355	Casp14	0.000339748	2.52695482	protein_coding	Upregulated	protein_coding	ENSMUSG00000005355	ENSG00000105141
ENSMUSG00000005360	Slc1a3	5.89e-08	-1.9883690880000002	protein_coding	Downregulated	protein_coding	ENSMUSG00000005360	ENSG00000079215
ENSMUSG00000005373	Mlxipl	0.000121655	-1.376481311	protein_coding	Downregulated	protein_coding	ENSMUSG00000005373	ENSG00000009950
ENSMUSG00000005413	Hmox1	0.013368761000000002	1.3969152180000002	protein_coding	Upregulated	protein_coding	ENSMUSG00000005413	ENSG00000100292
ENSMUSG00000005447	Pafah1b3	0.00039998599999999996	-1.0920968070000001	protein_coding	Downregulated	protein_coding	ENSMUSG00000005447	ENSG00000079462
ENSMUSG00000005470	Asf1b	5.73e-07	-1.244246175	protein_coding	Downregulated	protein_coding	ENSMUSG00000005470	ENSG00000105011
ENSMUSG00000005503	Evx1	5.92e-15	7.034930775	protein_coding	Upregulated	protein_coding	ENSMUSG00000005503	ENSG00000106038
ENSMUSG00000005514	Por	0.00065116	-1.1814846490000002	protein_coding	Downregulated	protein_coding	ENSMUSG00000005514	ENSG00000127948
ENSMUSG00000005553	Atp4a	0.0016576829999999999	-1.29072739	protein_coding	Downregulated	protein_coding	ENSMUSG00000005553	ENSG00000105675
ENSMUSG00000005611	Mrvi1	0.01492181	-1.643721021	protein_coding	Downregulated	protein_coding	ENSMUSG00000005611	ENSG00000072952
ENSMUSG00000005672	Kit	7.02e-16	2.533227647	protein_coding	Upregulated	protein_coding	ENSMUSG00000005672	ENSG00000157404
ENSMUSG00000005677	Nr1i3	1.39e-12	-2.993448305	protein_coding	Downregulated	protein_coding	ENSMUSG00000005677	ENSG00000143257
ENSMUSG00000005873	Reep5	3.05e-20	2.220634568	protein_coding	Upregulated	protein_coding	ENSMUSG00000005873	ENSG00000129625
ENSMUSG00000005949	Ctns	2.58e-06	1.256069055	protein_coding	Upregulated	protein_coding	ENSMUSG00000005949	ENSG00000040531
ENSMUSG00000005951	Shpk	0.012345405	-1.083986117	protein_coding	Downregulated	protein_coding	ENSMUSG00000005951	ENSG00000197417
ENSMUSG00000005958	Ephb3	0.004537852	1.3490621630000001	protein_coding	Upregulated	protein_coding	ENSMUSG00000005958	ENSG00000182580
ENSMUSG00000005968	Tuft1	6.14e-06	1.013707457	protein_coding	Upregulated	protein_coding	ENSMUSG00000005968	ENSG00000143367
ENSMUSG00000005973	Rcn1	2.54e-06	1.817187093	protein_coding	Upregulated	protein_coding	ENSMUSG00000005973	ENSG00000049449
ENSMUSG00000005981	Trap1	4.4700000000000005e-09	-1.158099673	protein_coding	Downregulated	protein_coding	ENSMUSG00000005981	ENSG00000126602
ENSMUSG00000005986	Ankrd13d	0.041703903	1.454803909	protein_coding	Upregulated	protein_coding	ENSMUSG00000005986	ENSG00000172932
ENSMUSG00000006179	Prss16	0.004075433	-1.172776462	protein_coding	Downregulated	protein_coding	ENSMUSG00000006179	ENSG00000112812
ENSMUSG00000006273	Atp6v1b2	1.59e-11	1.2753861000000002	protein_coding	Upregulated	protein_coding	ENSMUSG00000006273	ENSG00000147416
ENSMUSG00000006281	Tep1	2.5399999999999997e-07	-1.281585699	protein_coding	Downregulated	protein_coding	ENSMUSG00000006281	ENSG00000129566
ENSMUSG00000006342	Susd2	0.007467603000000001	1.450141888	protein_coding	Upregulated	protein_coding	ENSMUSG00000006342	ENSG00000099994
ENSMUSG00000006345	Ggt1	8.369999999999999e-24	-4.31250865	protein_coding	Downregulated	protein_coding	ENSMUSG00000006345	ENSG00000133475; ENSG00000100031
ENSMUSG00000006345	Ggt1	8.369999999999999e-24	-4.31250865	protein_coding	Downregulated	protein_coding	ENSMUSG00000006345	ENSG00000100031
ENSMUSG00000006345	Ggt1	8.369999999999999e-24	-4.31250865	protein_coding	Downregulated	protein_coding	ENSMUSG00000006345	ENSG00000197421
ENSMUSG00000006356	Crip2	3.4700000000000004e-10	2.58228402	protein_coding	Upregulated	protein_coding	ENSMUSG00000006356	ENSG00000182809
ENSMUSG00000006360	Crip1	9.720000000000001e-08	-2.642532767	protein_coding	Downregulated	protein_coding	ENSMUSG00000006360	ENSG00000213145
ENSMUSG00000006362	Cbfa2t3	1.4699999999999999e-09	2.688701562	protein_coding	Upregulated	protein_coding	ENSMUSG00000006362	ENSG00000129993
ENSMUSG00000006369	Fbln1	7.62e-05	-1.213073145	protein_coding	Downregulated	protein_coding	ENSMUSG00000006369	ENSG00000077942
ENSMUSG00000006378	Gcat	8.28e-05	-1.048417925	protein_coding	Downregulated	protein_coding	ENSMUSG00000006378	ENSG00000100116
ENSMUSG00000006411	Nectin4	7.02e-07	1.581690861	protein_coding	Upregulated	protein_coding	ENSMUSG00000006411	ENSG00000143217
ENSMUSG00000006435	Neurl1a	4.25e-14	3.3561630780000002	protein_coding	Upregulated	protein_coding	ENSMUSG00000006435	ENSG00000107954
ENSMUSG00000006463	Zdhhc24	2.81e-08	1.301113335	protein_coding	Upregulated	protein_coding	ENSMUSG00000006463	ENSG00000174165
ENSMUSG00000006464	Bbs1	1.35e-08	1.795081245	protein_coding	Upregulated	protein_coding	ENSMUSG00000006464	ENSG00000174483
ENSMUSG00000006494	Pdk1	9.18e-20	-3.58718538	protein_coding	Downregulated	protein_coding	ENSMUSG00000006494	ENSG00000152256
ENSMUSG00000006517	Mvd	9.72e-06	-1.3386791279999999	protein_coding	Downregulated	protein_coding	ENSMUSG00000006517	ENSG00000167508
ENSMUSG00000006546	Cryba2	1.88e-12	4.044629176	protein_coding	Upregulated	protein_coding	ENSMUSG00000006546	ENSG00000163499
ENSMUSG00000006575	Rundc3a	3.71e-18	4.531455222	protein_coding	Upregulated	protein_coding	ENSMUSG00000006575	ENSG00000108309
ENSMUSG00000006586	Runx1t1	3.14e-09	4.018599063	protein_coding	Upregulated	protein_coding	ENSMUSG00000006586	ENSG00000079102
ENSMUSG00000006638	Abhd1	0.000495839	-2.199653787	other	Downregulated	other	ENSMUSG00000006638	ENSG00000143994
ENSMUSG00000006642	Tcf23	2.76e-12	-2.28143802	protein_coding	Downregulated	protein_coding	ENSMUSG00000006642	ENSG00000163792
ENSMUSG00000006651	Aplp1	1.94e-18	2.8046858869999998	protein_coding	Upregulated	protein_coding	ENSMUSG00000006651	ENSG00000105290
ENSMUSG00000006675	P4htm	0.001040967	3.489356559	protein_coding	Upregulated	protein_coding	ENSMUSG00000006675	ENSG00000178467
ENSMUSG00000006711	D130043K22Rik	0.044724735	-3.422613112	protein_coding	Downregulated	protein_coding	ENSMUSG00000006711	ENSG00000137261
ENSMUSG00000006731	B4galnt1	1.1199999999999999e-11	-1.5495868999999998	protein_coding	Downregulated	protein_coding	ENSMUSG00000006731	ENSG00000135454
ENSMUSG00000006777	Krt23	6.02e-17	1.937886789	protein_coding	Upregulated	protein_coding	ENSMUSG00000006777	ENSG00000108244; ENSG00000263309
ENSMUSG00000006800	Sulf2	0.020973477	-1.062059878	protein_coding	Downregulated	protein_coding	ENSMUSG00000006800	ENSG00000196562
ENSMUSG00000006930	Hap1	8.74e-12	2.9480198239999997	protein_coding	Upregulated	protein_coding	ENSMUSG00000006930	ENSG00000173805
ENSMUSG00000006958	Chrd	0.002371461	2.5871982680000003	protein_coding	Upregulated	protein_coding	ENSMUSG00000006958	ENSG00000090539
ENSMUSG00000007039	Ddah2	3.46e-07	1.7896093640000001	protein_coding	Upregulated	protein_coding	ENSMUSG00000007039	ENSG00000206395; ENSG00000233076; ENSG00000226634; ENSG00000213722; ENSG00000225635; ENSG00000227317; ENSG00000228128
ENSMUSG00000007207	Stx1a	6.64e-09	1.498376414	protein_coding	Upregulated	protein_coding	ENSMUSG00000007207	ENSG00000106089
ENSMUSG00000007783	Cpt1c	2.2e-15	3.1997855439999996	protein_coding	Upregulated	protein_coding	ENSMUSG00000007783	ENSG00000169169
ENSMUSG00000007833	Aldh16a1	9.43e-07	-1.159341131	protein_coding	Downregulated	protein_coding	ENSMUSG00000007833	ENSG00000161618
ENSMUSG00000007888	Crlf1	0.000351507	2.247152457	protein_coding	Upregulated	protein_coding	ENSMUSG00000007888	ENSG00000006016
ENSMUSG00000007950	Abhd8	3.66e-06	2.161527303	protein_coding	Upregulated	protein_coding	ENSMUSG00000007950	ENSG00000127220
ENSMUSG00000007989	Fzd3	3.8799999999999994e-05	2.686031785	protein_coding	Upregulated	protein_coding	ENSMUSG00000007989	ENSG00000104290
